title,abs_rlv,year,authors,abstract,doi,keywords,orig_index,Is_Core,Similarity_Cosine,Similarity_Hellinger,Similarity_Dice,Similarity_Manhattan,Similarity_Chebyshev,Similarity_Ensemble
Computational EEG modelling of decision making under ambiguity reveals spatio-temporal dynamics of outcome evaluation.,,2017,"Jollans, Lee; Whelan, Robert; Venables, Louise; Turnbull, Oliver H; Cella, Matteo; Dymond, Simon","complex human cognition, such as decision-making under ambiguity, is reflected in dynamic spatiotemporal activity in the brain. here, we combined event-related potentials with computational modelling of the time course of decision-making and outcome evaluation during the iowa gambling task. measures of choice probability generated using the prospect valence learning delta (pvl-delta) model, in addition to objective trial outcomes (outcome magnitude and valence), were applied as regressors in a general linear model of the eeg signal. the resulting three-dimensional spatio-temporal characterization of task-related neural dynamics demonstrated that outcome valence, outcome magnitude, and pvl-delta choice probability were expressed in distinctly separate event related potentials. our findings showed that the p3 component was associated with an experience-based measure of outcome expectancy.",10.1016/j.bbr.2016.12.033,Brain; *Decision Making; *Computational Modeling; *Electroencephalography; *Temporal Lobe,448,0,0.493193065,-2.466763556,0.142314991,-10.66707972,-0.362789777,-0.13918706
Alexithymia and the reduced ability to represent the value of aversively motivated actions.,,2018,"Starita, Francesca; di Pellegrino, Giuseppe","alexithymia is a subclinical trait defined by difficulties in identifying and describing feelings and a cognitive style avoidant of introspection. extensive literature shows that alexithymia is characterized by multifaceted impairments in processing emotional stimuli. nevertheless, the mechanisms that may account for such impairments remain elusive. here, we hypothesize that alexithymia may be understood as impairment in learning the emotional value of one's own actions and test this comparing performance of participants with high (ha) and low (la) levels of alexithymia on a probabilistic selection task. results show that, compared to la, ha need more time to learn the value of individual stimuli and associated actions as difference in reinforcement rate between stimuli decreases. in addition, ha appear less able to generalize the value of previously learned actions that lead to a negative outcome, to make adaptive choices in a new context, requiring more time to avoid the most negative stimulus between two negative stimuli. together, the results indicate that individuals with alexithymia show impaired learning of the value of aversively motivated actions. we argue that this impairment may hinder the construction of internal representations of emotional stimuli and actions and represent a mechanism that may account for the difficulties of alexithymia in processing emotional stimuli.",10.3389/fpsyg.2018.02587,*Learning; *Motivation; *Emotions; *Cognitive Ability; *Alexithymia; Introspection,365,0,0.490411833,-2.465939511,0.158434296,-10.25529865,-0.224826278,-0.090152568
Integrating frequency and magnitude information in decision-making in schizophrenia: An account of patient performance on the Iowa Gambling Task.,,2015,"Brown, Elliot C; Hack, Samantha M; Gold, James M; Carpenter, William T Jr.; Fischer, Bernard A; Prentice, Kristen P; Waltz, James A","the iowa gambling task (igt; bechara et al., 1994) has frequently been used to assess risky decision making in clinical populations, including patients with schizophrenia (sz). poor performance on the igt is often attributed to reduced sensitivity to punishment, which contrasts with recent findings from reinforcement learning studies in schizophrenia. in order to investigate possible sources of igt performance deficits in sz patients, we combined data from the igt from 59 sz patients and 43 demographically-matched controls with data from the balloon analog risk task (bart) in the same participants. our analyses sought to specifically uncover the role of punishment sensitivity and delineate the capacity to integrate frequency and magnitude information in decision-making under risk. although sz patients, on average, made more choices from disadvantageous decks than controls did on the igt, they avoided decks with frequent punishments at a rate similar to controls. patients also exhibited excessive loss-avoidance behavior on the bart. we argue that, rather than stemming from reduced sensitivity to negative consequences, performance deficits on the igt in sz patients are more likely the result of a reinforcement learning deficit, specifically involving the integration of frequencies and magnitudes of rewards and punishments in the trial-by-trial estimation of expected value.",10.1016/j.jpsychires.2015.04.007,Rewards; *Gambling; *Decision Making; *Performance; *Schizophrenia; *Punishment; Reinforcement,572,0,0.489415903,-2.51481745,0.174953959,-10.79206493,-0.233187834,-0.090796195
"Sensitivity and bias in decision-making under risk: Evaluating the perception of reward, its probability and value.",,2012,"Sharp, Madeleine E; Viswanathan, Jayalakshmi; Lanyon, Linda J; Barton, Jason J. S","there are few clinical tools that assess decision-making under risk. tests that characterize sensitivity and bias in decisions between prospects varying in magnitude and probability of gain may provide insights in conditions with anomalous reward-related behaviour. we designed a simple test of how subjects integrate information about the magnitude and the probability of reward, which can determine discriminative thresholds and choice bias in decisions under risk. design/ twenty subjects were required to choose between two explicitly described prospects, one with higher probability but lower magnitude of reward than the other, with the difference in expected value between the two prospects varying from 3 to 23%. subjects showed a mean threshold sensitivity of 43% difference in expected value. regarding choice bias, there was a 'risk premium' of 38%, indicating a tendency to choose higher probability over higher reward. an analysis using prospect theory showed that this risk premium is the predicted outcome of hypothesized non-linearities in the subjective perception of reward value and probability. this simple test provides a robust measure of discriminative value thresholds and biases in decisions under risk. prospect theory can also make predictions about decisions when subjective perception of reward or probability is anomalous, as may occur in populations with dopaminergic or striatal dysfunction, such as parkinson's disease and schizophrenia.",10.1371/journal.pone.0033460,*Rewards; *Decision Making; *Probability; *Risk Taking; *Prospect Theory,734,0,0.48870565,-2.470966833,0.125237192,-11.05568486,-0.187207969,-0.119411544
In silico model-driven assessment of the effects of brain-derived neurotrophic factor deficiency on glutamate and gamma-aminobutyric acid: Implications for understanding schizophrenia pathophysiology.,,2017,"Agrawal, Rimjhim; Kalmady, Sunil Vasu; Venkatasubramanian, Ganesan","deficient brain-derived neurotrophic factor (bdnf) is one of the important mechanisms underlying the neuroplasticity abnormalities in schizophrenia. aberration in bdnf signaling pathways directly or circuitously influences neurotransmitters like glutamate and gamma-aminobutyric acid (gaba). for the first time, this study attempts to construct and simulate the bdnf-neurotransmitter network in order to assess the effects of bdnf deficiency on glutamate and gaba. using celldesigner, we modeled bdnf interactions with calcium influx via n-methyl-d-aspartate receptor (nmdar)- calmodulin activation; synthesis of gaba via cell cycle regulators protein kinase b, glycogen synthase kinase and beta-catenin; transportation of glutamate and gaba. steady state stability, perturbation time-course simulation and sensitivity analysis were performed in copasi after assigning the kinetic functions, optimizing the unknown parameters using random search and genetic algorithm. study observations suggest that increased glutamate in hippocampus, similar to that seen in schizophrenia, could potentially be contributed by indirect pathway originated from bdnf. deficient bdnf could suppress glutamate decarboxylase 67-mediated gaba synthesis. further, deficient bdnf corresponded to impaired transport via vesicular glutamate transporter, thereby further increasing the intracellular glutamate in gabaergic and glutamatergic cells. bdnf also altered calcium dependent neuroplasticity via nmdar modulation. sensitivity analysis showed that calmodulin, camp response element-binding protein (creb) and creb regulated transcription coactivator-1 played significant role in this network. conclusion: the study presents in silico quantitative model of biochemical network constituting the key signaling molecules implicated in schizophrenia pathogenesis. it provides mechanistic insights into putative contribution of deficient bndf towards alterations in neurotransmitters and neuroplasticity that are consistent with current understanding of the disorder.",10.9758/cpn.2017.15.2.115,*Schizophrenia; *Brain Derived Neurotrophic Factor; Glutamic Acid; Pathophysiology,435,0,0.488289346,-2.492283211,0.149114632,-10.28971441,-0.42620904,-0.146316648
The adaptive microbiome hypothesis and immune interactions in amphibian mucus.,,2023,"Woodhams, Douglas; McCartney, Julia; Walke, Jenifer; Whetstone, Ross","the microbiome is known to provide benefits to hosts, including extension of immune function. amphibians are a powerful immunological model for examining mucosal defenses because of an accessible epithelial mucosome throughout their developmental trajectory, their responsiveness to experimental treatments, and direct interactions with emerging infectious pathogens. we review amphibian skin mucus components and describe the adaptive microbiome as a novel process of disease resilience where competitive microbial interactions couple with host immune responses to select for functions beneficial to the host. we demonstrate microbiome diversity, specificity of function, and mechanisms for memory characteristic of an adaptive immune response. at a time when industrialization has been linked to losses in microbiota important for host health, applications of microbial therapies such as probiotics may contribute to immunotherapeutics and to conservation efforts for species currently threatened by emerging diseases., highlights:, amphibian skin is an accessible mucosal surface to study host microbial interactions., the adaptive microbiome hypothesis defines a process that promotes disease resilience., mucosal immunity impacts microbial interactions and host-microbiome symbioses., microbial-immune interactions can select for functions beneficial to the host.,",10.1016/j.dci.2023.104690,Antimicrobial peptides; Chytridiomycosis; Disease ecology; Homeostasis; Microbiota; Resilience; Stress physiology; Symbiosis,965,0,0.487567673,-2.542272923,0.182971014,-10.74093792,-0.254690361,-0.091281732
Braking and accelerating of the adolescent brain.,,2011,"Casey, B. J; Jones, Rebecca M; Somerville, Leah H","adolescence is a developmental period often characterized as a time of impulsive and risky choices leading to increased incidence of unintentional injuries and violence, alcohol and drug abuse, unintended pregnancy, and sexually transmitted diseases. traditional neurobiological and cognitive explanations for such suboptimal choices and actions have failed to account for nonlinear changes in behavior observed during adolescence, relative to childhood and adulthood. this review provides a biologically plausible conceptualization of the mechanisms underlying these nonlinear changes in behavior, as an imbalance between a heightened sensitivity to motivational cues and immature cognitive control. recent human imaging and animal studies provide a biological basis for this view, suggesting differential development of subcortical limbic systems relative to top-down control systems during adolescence relative to childhood and adulthood. this work emphasizes the importance of examining transitions into and out of adolescence and highlights emerging avenues of future research on adolescent brain development.",10.1111/j.1532-7795.2010.00712.x,*Cognitive Control; *Adolescent Development; *Brain,780,0,0.486228381,-2.474390374,0.200904977,-10.11214095,-0.261051268,-0.065745544
Recombinant TNF[alpha] as oral vaccine adjuvant protects European sea bass against vibriosis: Insights into the role of the CCL25/CCR9 axis.,,2013,"Galindo-Villegas, Jorge; Mulero, Ivan; Garcia-Alcazar, Alicia; Munoz, Iciar; Penalver-Mellado, Marcos; Streitenberger, Sergio; Scapigliati, Giuseppe; Meseguer, Jose; Mulero, Victoriano",": vibrio anguillarum is the main causative agent of vibriosis in cultured sea bass. unfortunately, available vaccines against this disease do not achieve the desired protection. in this study, to accomplish uptake, processing, and presentation of luminal antigens, a commercial sea bass oral vaccine against v. anguillarum was improved with the addition of recombinant fish-self tumor necrosis factor [alpha] (rtnf[alpha]), as adjuvant. to explore mechanisms, systemic and local responses were analyzed through serum specific igm titers, gene expression, lymphocytes spatial distribution in the gut, and in vitro functional assays. we found along the trial, over expressed transcripts of genes encoding cytokines and antimicrobial molecules at the gut of rtnf[alpha] supplied group. orally immunized fish with vaccine alone confer protection against v. anguillarum challenge throughout a short time period. in contrast, adjuvant-treated group significantly extended the response. in both cases, achieved protection was independent of serum igm. yet, igt transcripts were found to increase in the gut of rtnf[alpha]-treated fish. more importantly, fish treated with rtnf[alpha] showed a dramatic change of their t lymphocytes distribution and localization in gut mucosal tissue, suggesting specific antigen recognition and further intraepithelial t lymphocytes (iel) activation. to determine the mechanism behind iel infiltration, we characterized the constitutive and activated pattern of chemokines in sea bass hematopoietic tissues, identifying for the first time in fish gut, an intimate relation between the chemokine ligand/receptor ccl25/ccr9. ex-vivo, chemotaxis analyses confirmed these findings. together, our results demonstrate that improved oral vaccines targeting key cytokines may provide a means to selectively modulate fish immune defence., highlights:, we analyzed the effect of tnf[alpha] as oral vaccine adjuvant against vibriosis., sea bass recombinant tnf[alpha] was produced and added to priming and booster doses., dietary intake of rtnf[alpha] increased iel homing through ccl25/ccr9 activation., sea bass oral vaccine adjuvanted with rtnf[alpha] has proven effective disease protection.,",10.1016/j.fsi.2013.07.046,Vibrio anguillarum; Adjuvant; Chemokines; European sea bass; TNF[alpha],1399,0,0.485661515,-2.445639792,0.137996219,-10.59009211,-0.326594379,-0.134052449
Association of risk proneness in overtaking maneuvers with impaired decision making.,,2008,"Farah, Haneen; Yechiam, Eldad; Bekhor, Shlomo; Toledo, Tomer; Polus, Abishai","overtaking maneuvers on two-lane rural roads are difficult maneuvers which involve relatively complicated decisions. the main hypothesis tested in this paper is that the frequency of overtaking maneuvers on a driving simulator is associated with a faulty decision making style in the iowa gambling task (igt), a popular decision task employed for assessing cognitive impulsivity. in a controlled study, 36 participants drove a scenario involving multiple overtaking decisions in an interactive driving simulator (stisim) and also completed the igt. the results show a significant negative correlation of about 0.3 between the igt performance and the number of overtaking maneuvers, the average driving speed, and the acceleration noise. we also found a positive correlation of 0.5 between igt performance and the percent of aborted overtaking maneuvers. a cognitive modeling analysis shows that the associations appear to be modulated by weighting of gains compared to losses obtained during repeated play. these results demonstrate that the igt has a potential to predict risk prone behavior in overtaking maneuvers and in driving in general.",10.1016/j.trf.2008.01.005,*Decision Making; *Cognitive Impairment; *Risk Assessment; *Driving Behavior; *Accident Proneness; Drivers,866,0,0.484769443,-2.447601599,0.142857143,-10.88850248,-0.241443336,-0.115574975
The multiple faces of risk-taking: Scoring alternatives for the balloon-analogue risk task.,,2016,"Schmitz, Florian; Manske, Karsten; Preckel, Franzis; Wilhelm, Oliver","the balloon-analogue risk task (bart; lejuez et al., 2002) is one of the most popular behavioral tasks suggested to assess risk-taking in the laboratory. previous research has shown that the conventionally computed score is predictive, but neglects available information in the data. we suggest a number of alternative scores that are motivated by theories of risk-taking and that exploit more of the available data. these scores can be grouped around (1) risk-taking, (2) task performance, (3) impulsive decision making, and (4) reinforcement sequence modulation. their theoretical rationale is detailed and their validity is tested within the nomological network of risk-taking, deviance, and scholastic achievement. two multivariate studies were conducted with youths (n = 435) and with adolescents/young adults (n = 316). additionally, we tested formal models suggested for the bart that decompose observed behavior into a set of meaningful parameters. a simulation study with parameter recovery was conducted, and the data from the two studies were reanalyzed using the models. most scores were reliable and differentially predictive of criterion variables and may be used in basic research. however, task specificity and the generally moderate validity do not warrant use of the experimental paradigm for diagnostic purposes.",10.1027/1015-5759/a000335,Simulation; Cognitive Ability; *Task; *Risk Taking; *Test Reliability; Diagnosis; *Test Validity,490,0,0.482367966,-2.555669873,0.165745856,-10.86996043,-0.199125779,-0.096175299
Implicit working memory: Implications for assessment and treatment.,,2016,"Joyce, Arthur W","working memory (wm) impacts a gamut of cognitive abilities, but implicit wm is typically not considered in assessment or treatment, which may explain the variability of results in reviews of wm training. the role of implicit wm in adaptive behavior is reviewed. all we do is action based. explicit wm plays a major role when we are required to ""think""; that is, when we apply previously learned perception-action linkages in new ways to unique situations. implicit wm is involved in the automation of behavior, which occurs through interaction with cortical and subcortical systems that guide sensory-motor anticipation and the prediction of reward. this article reviews evidence that implicit wm interacts with cortical-cerebellar and cortical-basal ganglia connections to form perception-action linkages. the cerebellum forms an internal model of cortical wm, corrects the content of this internal model, and then projects the improved representation back to the cortex, where it is retained for future use. the basal ganglia also form an anticipatory system, controlling cortical access to wm by allowing or restricting the information that is released based on the probability of reward. this framework is applied to the assessment and treatment of individuals with wm deficits. the ability to automate behavior can be assessed through repeated trials of existing testing instruments, such as the trails b and stroop tasks. application of skill learning emphasizing automation as an end goal offers a model for the development of new types of wm training.",10.1080/21622965.2016.1167497,*Cerebellum; *Neuropsychology; *Short Term Memory; *Basal Ganglia; *Treatment,486,0,0.4812582,-2.465671616,0.120229008,-11.33407895,-0.165447216,-0.124287574
Alanine Aminotransferase and Directly Measured Insulin Sensitivity in a Multiethnic Cohort: The Insulin Resistance Atherosclerosis Study.,,2007,"HANLEY, ANTHONY; WAGENKNECHT, LYNNE; FESTA, ANDREAS; D'AGOSTINO, RALPH; HAFFNER, STEVEN","the objective of the present analysis was to evaluate the association of alanine aminotransferase (alt) with directly measured insulin sensitivity (si) in a large, multiethnic cohort of u.s. adults and to determine whether alt adds to existing metabolic risk definitions in identifying subjects with insulin resistance., research design and si was directly measured from frequently sampled intravenous glucose tolerance tests among 999 nondiabetic african-american, hispanic, and non-hispanic white subjects aged 40-69 years who were participating in the insulin resistance atherosclerosis study. subjects also received an oral glucose tolerance test, and fasting insulin, alt, and alcohol intake were determined., alt was associated with si after adjustment for age, sex, ethnicity, impaired fasting glucose, triglycerides, hdl, blood pressure, and waist (clinical model) (p < 0.0001). the association remained significant after further adjustment for fasting insulin and impaired glucose tolerance (p = 0.004). in logistic regression analysis, elevated alt (upper quartile) was associated with insulin resistance (lowest quartile of si) after adjustment for age, sex, and ethnicity (odds ratio 3.0 [95% ci 2.2-4.1]). elevated alt was independently associated with insulin resistance when included in models with waist circumference, national cholesterol education program criteria for metabolic syndrome, hypertriglyceridemic waist, elevated triglyceride-to-hdl ratio, or homeostasis model assessment of insulin resistance (homa-ir) (all p < 0.01). finally, the addition of elevated alt improved classification of insulin resistance by area under the receiver operating characteristic curve criteria for all models except homa-ir., alt was associated with insulin resistance independently of conventional and more detailed metabolic measures. these findings suggest that the addition of alt to existing clinically based metabolic risk definitions is an inexpensive way to improve the identification of subjects with insulin resistance.,",10.2337/dc07-0086,,1614,0,0.48066817,-2.440670569,0.182488479,-10.52998962,-0.19664789,-0.070625994
Medial frontal cortex response to unexpected motivationally salient outcomes.,,2018,"Soder, Heather E; Potts, Geoffrey F","the medial frontal cortex (mfc) plays a central role allocating resources to process salient information, in part by responding to prediction errors. while there is some recent debate, the feedback-related negativity (frn) is thought to index a reward prediction error by signaling outcomes that are worse than expected. a recent study utilizing electric shock provided data inconsistent with these accounts and reported that the omission of both appetitive (money) and aversive outcomes (electric shocks) elicited a medial frontal negativity. these data suggest that the erps within this time range support a salience prediction error that responds to unexpected events regardless of valence. to compare the reward and salience prediction error models, we employed a design that delivered both appetitive (monetary) and aversive (noise burst) outcomes. participants completed a passive s1/s2 prediction design where s1 predicted s2 with 80% accuracy and s2 predicted the outcome with 100% accuracy. we compared both earlier and later erp responses over the medial frontal cortex to compare the salience and reward prediction hypotheses. considering both time windows, the erp response to s2 in the early time window was most positive when s2 signaled that an outcome was unexpectedly delivered and in the later time window, was most negative when an outcome was unexpectedly withheld, regardless of outcome valence. thus, these results are more consistent with a salience prediction error rather than a reward prediction error.",10.1016/j.ijpsycho.2017.11.003,*Evoked Potentials; *Frontal Lobe; *Punishment; *Prediction Errors,399,0,0.479798563,-2.488045096,0.144329897,-10.78224491,-0.318252887,-0.134796322
To fear is to gain? The role of fear recognition in risky decision making in TBI patients and healthy controls.,,2016,"Visser-Keizer1, Annemarie C; Westerhof-Evers, Herma J; Gerritsen, Marleen J. J; van der Naalt, Joukje; Spikman, Jacoba M","fear is an important emotional reaction that guides decision making in situations of ambiguity or uncertainty. both recognition of facial expressions of fear and decision making ability can be impaired after traumatic brain injury (tbi), in particular when the frontal lobe is damaged. so far, it has not been investigated how recognition of fear influences risk behavior in healthy subjects and tbi patients. the ability to recognize fear is thought to be related to the ability to experience fear and to use it as a warning signal to guide decision making. we hypothesized that a better ability to recognize fear would be related to a better regulation of risk behavior, with healthy controls outperforming tbi patients. to investigate this, 59 healthy subjects and 49 tbi patients were assessed with a test for emotion recognition (facial expression of emotion: stimuli and tests) and a gambling task (iowa gambling task (igt)). the results showed that, regardless of post traumatic amnesia duration or the presence of frontal lesions, patients were more impaired than healthy controls on both fear recognition and decision making. in both groups, a significant relationship was found between better fear recognition, the development of an advantageous strategy across the igt and less risk behavior in the last blocks of the igt. educational level moderated this relationship in the final block of the igt. this study has important clinical implications, indicating that impaired decision making and risk behavior after tbi can be preceded by deficits in the processing of fear.",10.1371/journal.pone.0166995,*Decision Making; *Traumatic Brain Injury; *Fear,459,0,0.478821517,-2.503878789,0.16372093,-11.05252259,-0.270825448,-0.11438298
Single dose of a dopamine agonist impairs reinforcement learning in humans: Behavioral evidence from a laboratory-based measure of reward responsiveness.,,2008,"Pizzagalli, Diego; Evins, A.; Schetter, Erika; Frank, Michael; Pajtas, Petra; Santesso, Diane; Culhane, Melissa","the dopaminergic system, particularly d2-like dopamine receptors, has been strongly implicated in reward processing. animal studies have emphasized the role of phasic dopamine (da) signaling in reward-related learning, but these processes remain largely unexplored in humans. to evaluate the effect of a single, low dose of a d2/d3 agonistÃÂÃÂÃÂÃÂpramipexoleÃÂÃÂÃÂÃÂon reinforcement learning in healthy adults. based on prior evidence indicating that low doses of da agonists decrease phasic da release through autoreceptor stimulation, we hypothesized that 0.5 mg of pramipexole would impair reward learning due to presynaptic mechanisms. using a double-blind design, a single 0.5-mg dose of pramipexole or placebo was administered to 32 healthy volunteers, who performed a probabilistic reward task involving a differential reinforcement schedule as well as various control tasks. as hypothesized, response bias toward the more frequently rewarded stimulus was impaired in the pramipexole group, even after adjusting for transient adverse effects. in addition, the pramipexole group showed reaction time and motor speed slowing and increased negative affect; however, when adverse physical side effects were considered, group differences in motor speed and negative affect disappeared. these findings show that a single low dose of pramipexole impaired the acquisition of reward-related behavior in healthy participants, and they are consistent with prior evidence suggesting that phasic da signaling is required to reinforce actions leading to reward. the potential implications of the present findings to psychiatric conditions, including depression and impulse control disorders related to addiction, are discussed.",10.1007/s00213-007-0957-y,Addiction; Dopamine; Depression; REINFORCEMENT learning; Reward processing; MENTAL depression; D2 agonists; DOPAMINE agonists; DOPAMINERGIC mechanisms; Mesolimbic system; SYMPATHETIC nervous system,2309,0,0.475279659,-2.459209225,0.197080292,-11.02641889,-0.206000171,-0.071724752
A meta-analysis of neuropsychological markers of vulnerability to suicidal behavior in mood disorders.,,2014,"Richard-Devantoy, S.; Berlim, M.; Jollant, F.","suicidal behavior results from a complex interplay between stressful events and vulnerability factors, including cognitive deficits. however, it is not clear which cognitive tests may best reveal this vulnerability. the objective was to identify neuropsychological tests of vulnerability to suicidal acts in patients with mood disorders., method: a search was made of medline, embase and psycinfo databases, and article references. a total of 25 studies (2323 participants) met the selection criteria. a total of seven neuropsychological tests [iowa gambling task (igt), stroop test, trail making test part b, wisconsin card sorting test, category and semantic verbal fluencies, and continuous performance test] were used in at least three studies to be analysed., igt and category verbal fluency performances were lower in suicide attempters than in patient controls [respectively, g = -0.47, 95% confidence interval (ci) -0.65 to -0.29 and g = -0.32, 95% ci -0.60 to -0.04] and healthy controls, with no difference between the last two groups. stroop performance was lower in suicide attempters than in patient controls (g = 0.37, 95% ci 0.10-0.63) and healthy controls, with patient controls scoring lower than healthy controls. the four other tests were altered in both patient groups versus healthy controls but did not differ between patient groups., deficits in decision-making, category verbal fluency and the stroop interference test were associated with histories of suicidal behavior in patients with mood disorders. altered value-based and cognitive control processes may be important factors of suicidal vulnerability. these tests may also have the potential of guiding therapeutic interventions and becoming part of future systematic assessment of suicide risk.,",10.1017/S0033291713002304,decision making; Cognitive control; vulnerability; neuropsychology; mood disorders; suicidal behaviour,1369,0,0.473113653,-2.500361349,0.142056075,-10.69523844,-0.285093083,-0.130642092
Anterior insula reflects surprise in value-based decision-making and perception.,,2020,"Loued-Khenissi, Leyla; Pfeuffer, Adrien; Einhauser, Wolfgang; Preuschoff, Kerstin; d, e","the brain has been theorized to employ inferential processes to overcome the problem of uncertainty. inference is thought to underlie neural processes, including in disparate domains such as value-based decision-making and perception. value-based decision-making commonly involves deliberation, a time-consuming process that requires conscious consideration of decision variables. perception, by contrast, is thought to be automatic and effortless. both processes may call on a general neural system to resolve for uncertainty however. we addressed this question by directly comparing uncertainty signals in visual perception and an economic task using fmri. we presented the same individuals with different versions of a bi-stable figure (necker's cube) and with a gambling task during fmri acquisition. we experimentally varied uncertainty, either on perceptual state or financial outcome. we found that inferential errors indexed by a formal account of surprise in the gambling task yielded bold responses in the anterior insula, in line with earlier findings. moreover, we found perceptual uncertainty and surprise in the necker cube task yielded similar responses in the anterior insula. these results suggest that uncertainty, irrespective of domain, correlates to a common brain region, the anterior insula. these findings provide empirical evidence that the brain interacts with its environment through inferential processes.,",10.1016/j.neuroimage.2020.116549,fMRI; Decision-making; Inference; Uncertainty; Insula; Necker cube,1098,0,0.471920728,-2.523850358,0.143389199,-10.63841188,-0.32744482,-0.140457814
"Working memory, thought, and action.",,2007,"Baddeley, Alan","working memory, thought, and action is the magnum opus of one of the most influential cognitive psychologists of the past fifty years. working memory is a temporary storage system that underpins our capacity for coherent thought. some thirty years ago, alan baddeley (with graham hitch) proposed a model for working memory that has proved to be both valuable and influential in its application to practical problems. this book updates the theory, discussing both the evidence in its favour, and alternative approaches. in addition, it discusses the implications of the model for understanding social and emotional behaviour, concluding with an attempt to place working memory in a broader biological and philosophical context. inside are chapters on the phonological loop, the visuo-spatial sketchpad, the central executive and the episodic buffer. there are also chapters on the relevance to working memory of studies of the recency effect, of work based on individual differences, and of neuroimaging research. the broader implications of the concept of working memory are discussed in the chapters on social psychology, anxiety, depression, consciousness, and on the control of action. finally, braddeley discusses the relevance of a concept of working memory to the classic problems of consciousness and free will. this new volume from one of the pioneers in memory research is a major publication within the psychological literature.",10.1093/acprof:oso/9780198528012.001.0001,*Short Term Memory; Cognitions,893,0,0.471536206,-2.496827767,0.174632353,-10.12690211,-0.256899072,-0.091293814
Similarities between adult female crack cocaine users and adolescents in risky decision-making scenarios.,,2016,"Kluwe-Schiavon, Bruno; Viola, Thiago Wendt; Sanvicente-Vieira, Breno; Pezzi, Julio Carlos; Grassi-Oliveira, Rodrigo","although previous studies have shown that both adolescence and drug addiction can influence risk-taking and decision-making processes, the underlying mechanisms remain unclear. specifically, there is a lack of evidence as to whether these conditions could affect deliberative and affective processes involved in risk taking, such as feedback learning and valuation of profits and risk. the objectives were to compare the role of feedback and the use of information in risk-taking behavior between female crack cocaine users and adolescents. additionally, we aimed to investigate whether sensation seeking, impulsivity, depressive and anxiety symptoms, executive functioning, and working memory performance could explain differences in risk-taking behavior. method: this is a quasi-experimental study comparing 27 low-income adult female crack cocaine users (cu) to 18 female adolescents (ad) within two conditions (no-feedback or delayed-feedback) of the columbia card task (cct). in order to investigate cct reference values for adult females, we also included 20 female non-drug-users with regular education and income as a reference group (rg). a similar pattern of risk-taking behavior was found between cu and ad within the cct no-feedback condition. when delayed feedback was provided, ad exhibited a similar pattern of risk-taking behavior in the no-feedback condition, while cu showed a reduction of risk-taking behavior. both groups exhibited higher risk taking than the rg within the cct no-feedback condition, but only the ad group showed higher risk-taking behavior within the cct feedback condition. depressive symptom severity and working memory deficits were associated with higher risk-taking behaviors in cu. executive functioning deficits were associated with higher risk-taking behavior in ad. adult female crack cocaine users and female adolescents took similar risks during risky decision-making scenarios where feedback about their own performance was absent. however, when participants were provided with such feedback, it modulated risk-taking behaviors in crack cocaine users but not in adolescents.",10.1080/13803395.2016.1167171,*Risk Factors; *Addiction; *Drug Abuse; *Crack Cocaine,485,0,0.470247866,-2.450147966,0.096618357,-10.45937861,-0.359537229,-0.176566877
Testosterone and cortisol jointly modulate risk-taking.,,2015,"Mehta, Pranjal H; Welker, Keith M; Zilioli, Samuele; Carre, Justin M","recent theories propose that testosterone should be positively related to risk-taking, but empirical support is mixed. building on the dual-hormone hypothesis, the present research tested whether testosterone's role in risk-taking depends on cortisol. study 1 (n = 115) tested this hypothesis in a mixed-sex sample with self and informant reports of risk-taking. study 2 (n = 165) tested this hypothesis in a male-only sample with the balloon analog risk task, a behavioral measure of risk-taking. across both studies, there was a positive association between basal testosterone and risk-taking among individuals low in basal cortisol but not individuals high in basal cortisol. this pattern emerged in both males and females and across multiple measures of risk-taking (self reports, informant reports, behavior). these studies provide novel empirical support for the claim that testosterone and cortisol jointly regulate risk-taking. discussion focuses on putative mechanisms as well as implications for real-world risk-taking behaviors.",10.1016/j.psyneuen.2015.02.023,*Risk Taking; *Behavior; *Personality; *Hydrocortisone; *Testosterone,573,0,0.470018968,-2.460927211,0.153127918,-11.25872598,-0.236182162,-0.117423859
