orig_index,update_flag,title,authors,journal,year,abstract,doi,hollow_flag
500,R,Lifespan development of adaptive neurocognitive representations: Reciprocal interactions between cognition and motivation.,"Li, Shu-Chen; Eppinger, Ben",Motivation and cognitive control.,2016,"an individual's development across the life span entails co-constructive interactions between environmental, cultural, and socioemotional influences from the developmental context and the individual's neurobiological inheritance. crucially, individuals are not just mere passive recipients of their ecological, cultural, and neurobiological endowments; rather, they are active agents who make decisions and take actions to shape their own development. in order to better capture interactive dynamics between (a) the resources for and constraints on individual ontogeny that arise from the development context, (b) the mechanisms of brain maturation and senescence, and (c) the individual's self-regulatory behavior, a synergistic conceptualization of development is to view an individual's development across the life span as the development of self-regulated adaptive neurocognitive dynamics that are ""embodied"" in motor, sensory, and perceptual processes and ""situated"" in social and environmental contexts. viewed through the lens of self-regulated developmental adaptations of neurocognitive processes, brain circuitries and mechanisms that afford seamless interactions between motivational regulation and cognitive control are main themes for lifespan developmental neuroscience research. to zoom in on neurocognitive processes of self-regulated developmental adaptations, the current review focuses specifically on the relations between neuromodulation of frontal-hippocampal-striatal circuitry and interactions between cognition and motivation across the life span.",,FALSE
501,R,"The teen brain: ""Arrested development"" in resisting temptation.","Casey, B. J; Galvan, Adriana",Motivation and cognitive control.,2016,"whether it is refraining from eating a piece of pie or a marshmallow, or from running a yellow light just as it turns to red, individuals use some form of control over their thoughts and actions. this act is referred to as self-control, defined as the ability to suppress inappropriate desires, actions, thoughts, and emotions in favor of appropriate goal-oriented ones. this capacity changes throughout development as a function of maturing cognitive and motivational processes. in this chapter we focus on the developmental period of adolescence, a time of increased risk taking. we highlight how the differential development of interacting motivational and cognitive control neural processes may help to explain the inflection in risky behavior during this period. these changes vary not only by development but also across individuals. these individual differences in self-control may put some adolescents at an increased risk of putting themselves in harm's way more than others. we conclude by discussing why the adolescent brain may have evolved this way and how we might use these developmental changes to the adolescent's advantage.",,FALSE
506,R,Neuropsychology: From theory to practice.,"Andrewes, David",Neuropsychology: From theory to practice.,2016,"the second edition of this comprehensive textbook for students of neuropsychology gives a thorough overview of the complex relationship between brain and behavior. with an excellent blend of clinical, experimental and theoretical coverage, it draws on the latest research findings from neuroscience, cognitive neuroscience, neurochemistry, clinical neuropsychology and neuropsychology to provide students with new insights in this fast moving field. the book is organized around the main neuropsychological disorders in the areas of perception, executive dysfunction, attention, memory, cerebral asymmetry, language, emotion and consciousness. there is a clear emphasis on bridging the gap between theory and practice with links throughout to clinical issues of both assessment and rehabilitation to build a clear understanding of the application of the theoretical issues. the final section in each chapter illustrates the importance of a more systematic approach to intervention, which takes into account theoretical views of recovery from brain damage.",,FALSE
519,R,Anomalous cognition and psychokinesis research in Australian and Asian labs.,"Storm, Lance; Rock, Adam J","Extrasensory perception: Support, skepticism, and science., Vols. i-ii",2015,"a major finding in this chapter is that psi phenomena are pan cultural; research in anomalous cognition and psychokinesis has produced some convincing results, although the problem that dogs researchers on this side of the globe-namely, replicability on demand-is shared by our colleagues in other parts of the world. as also shown in this chapter, there is good evidence of growth in parapsychological research throughout the pacific region, particularly in australia, japan, and china. at a critical, potentially explosive, time for parapsychology worldwide, it is ironic that the primary showcase for parapsychological research-namely, the peerreviewed parapsychological journal-indicates an apparent declining trend given the fact that three aforementioned major journals, jaspr, ejp, and ijp, are all but extinct. these are mere contraindications, and it is reassuring, about australian parapsychology, that the ajpara ""has blossomed in a forbidding continent sparsely populated by parapsychologists in the past"" (stokes, 2014, p. 88). stokes's sentiment encapsulates the notion expressed here that there are signs of growth in the field, but not just in australia for, as it happens, many new online journals have sprung up in recent years, and the growing acceptance of parapsychological research in mainstream journals, such as psychological bulletin, the journal of consciousness studies, and explore, explains in part why jaspr, ejp, and ijp found it difficult to stay in print.",,FALSE
534,G,The relationship between self-reported ADHD symptoms and drug addiction on three measures of impulsivity and decision-making.,"Segala, Laura",Dissertation Abstracts International: Section B: The Sciences and Engineering,2015,"heroin and amphetamine addiction are frequently associated with cognitive deficits in impulsivity and decision-making, and some of these deficits have been shown to persist with protracted abstinence. deficits in impulse control are also often seen in axis i externalizing disorder, such as attention-deficit hyperactivity disorder (adhd). there is a high comorbidity of drug addiction disorders and adhd. however, the relationship between drug addiction, protracted abstinence and adhd on cognition has not been largely investigated. this study examines the relationship between heroin addiction, amphetamine addiction, and adhd symptoms on three measures of impulsivity and decision-making in a sample of currently abstinent individuals. a total of 262 individuals, 82 heroin users, 78 amphetamine users, and 102 controls were administered the iowa gambling task (igt), stop signal task (sst), and the immediate memory task (imt). findings of the study indicated that heroin abuse was related to impaired functioning on motor impulsivity. cognitive impulsivity and inattention were not affected by heroin use. neither amphetamine use nor presence of self-reported adhd symptoms were related to impaired functioning on cognitive impulsivity, motor impulsivity, and inattention. the current study investigated cognitive performance in a sample of sdis in protracted abstinence. therefore, findings may suggest recovery of function once opiates and stimulants are out of the system. another possibility is that neuroimaging or computational modeling are more sensitive measures to capture differences between sdis and control group. presence of self-reported adhd was not related to cognitive performance either, which may be an indication of failure to self-report inattention symptoms, or validity problems inherent to the wurs, and/or the diagnosis of adhd.",,FALSE
537,R,Exploring the association between the Iowa Gambling Task and community functioning in people with schizophrenia.,"Stratta, Paolo; Cella, Matteo; Di Emidio, Gabriella; Collazzoni, Alberto; Rossi, Alessandro",Psychiatria Danubina,2015,"decision making (dm) consists of a number of complex processes involving higher-order cognitive functions involved in outcome evaluation. problems in dm may have significant negative repercussions on community functioning. we hypothesise in individuals with schizophrenia difficulties in community functioning will be associated with dm problems. subjects and  dm performance was assessed using the iowa gambling task (igt) in 30 individuals with schizophrenia and 32 healthy controls. participants' choices on the igt were grouped as: ambiguous decisions, where the outcome is uncertain and cannot be predicted (i.e. igt initial phase), and risky decisions, where the outcome can be predicted with an error margin (i.e. igt final phase). people with schizophrenia were also assessed with measures of community functioning and symptoms.  controls outperformed individuals with schizophrenia in risky decisions. in patients, levels of community functioning positively correlated with dm performance. symptomatology was not associated with dm proficiency or functioning.  dm impairment may represent an important contributor to poor functional outcomes in people with schizophrenia. interventions targeting decision making and higher order cognitive problems in people with schizophrenia may have a greater impact on functional difficulties.",,FALSE
560,U,Addiction: A behavioral economic perspective.,"Heshmat, Shahram",Addiction: A behavioral economic perspective.,2015,"addiction: a behavioral economic perspective focuses on the behavioral economics of addiction to explain why someone decides to act against his/her own well-being. it answers the questions of what accounts for self-defeating behavior patterns and how do we best motivate individuals to act according with their long-term goals. a better understanding of decision processes will lead to an improved knowledge of why people engage in self-destructive behaviors and better policy interventions in areas of addiction and obesity. the approach also promises to be valuable as a framework for understanding decisions for an addict's professional and business life. this book will be of particular use to clinicians, students, and researchers in the fields of addiction, public health, and behavior therapy.",10.4324/9781315774541,FALSE
582,R,"The upward spiral: Using neuroscience to reverse the course of depression, one small change at a time.","Korb, Alex","The upward spiral: Using neuroscience to reverse the course of depression, one small change at a time.",2015,"depression can feel like a downward spiral, pulling you into a vortex of sadness, fatigue, and apathy. in the upward spiral, neuroscientist alex korb demystifies the intricate brain processes that cause depression and offers a practical and effective approach to getting better. based on the latest research in neuroscience, this book provides dozens of straightforward tips you can do every day to rewire your brain and create an upward spiral towards a happier, healthier life. whether you suffer from depression, or just want a better understanding of the brain, this book offers an engaging and informative look at the neuroscience behind our emotions, thoughts, and actions. the truth is that there isn't one big solution to depression, but there are numerous simple steps you can take to alter brain activity and chemistry. some are as easy as relaxing certain muscles to reduce anxiety, or getting more sunlight to improve your mood. small steps in the right direction can have profound effects-giving you the power to become your best self as you literally reshape your brain, one small change at a time.",,FALSE
600,R,"""Hot"" cognition and dual systems: Introduction, criticisms, and ways forward.","Gladwin, Thomas E; Figner, Bernd","Neuroeconomics, judgment, and decision making.",2015,"models distinguishing two types of processes or systems-typically one more automatic and/or affective-motivational, one more controlled and/or calculating-deliberative-are widespread in psychological science. however, such dual-process (or dual-system) models suffer from various problems and have been substantially criticized recently. in this chapter, we discuss these types of models, attempt to clarify terminology, discuss recent critiques at both empirical and theoretical levels, and suggest a more mechanistic explanation grounded in physiology and reinforcement learning of what makes ""hot"" processes hot. we discuss success stories and challenges related to these types of models in two illustrative fields, addiction and adolescent risk taking. finally, we outline the basic ideas behind our r3 model-a reprocessing model, grounded in reinforcement learning that conceptualizes levels of reflectivity as emergent states of one single system, rather than a separate process or system-as a possible way forward to address and overcome problems of dual-process models.",,FALSE
621,K,Using a reinforcement learning model and Bayes factors to study gender differences and personality correlations in reward prediction errors.,"Li, Chia-Tzu; Lai, Wen-Sung; Hsu, Yung-Fong",Chinese Journal of Psychology,2014,"we used a dynamic reward task to study gender differences in reward prediction errors in college students. experimental data were fit by a reinforcement learning model using the bayesian estimation approach. we also correlated subjects' performance with their personality traits assessed by the tridimensional personality questionnaire (tpq). matching law analysis revealed that males are more sensitive than females, meaning that males are better than females in choosing the advantageous card. model fitting together with bayes factors revealed that females update their values slightly faster than males, indicating that females have the tendency to give the trial-by-trial prediction error more weight. further, females showed less perseveration than males, indicating that females tend to explore the uncertainty of future events more often. we also found that females' learning rate is negatively correlated with their task performance, whereas both males and females' degree of perseveration is positively correlated with their task scores. these results indicate that on average, males have a more 'optimal' learning rate and a larger degree of perseveration than females, providing a plausible explanation of why males performed slightly better than females in the task. regarding the relation of task performance and personality traits, correlational analysis revealed that females with higher scores in ""extravagance"" (which is in the novelty-seeking dimension of tpq) have lower value-updating rates. moreover, females with higher scores in ""attachment"" (which is in the reward-dependence dimension of tpq) have lower degrees of perseveration. no such findings were found in males. further work is needed to verify the findings.",,FALSE
648,R,The neuroscience of human relationships: Attachment and the developing social brain.,"Cozolino, Louis",The neuroscience of human relationships: Attachment and the developing social brain.,2014,"since the publication of the first edition in 2006, the field of social neuroscience has grown at a mind-numbing pace. technical advances now provide more windows into our inner neural universe and terms like attachment, empathy, compassion, and mindfulness have begun to appear in the scientific literature. overall, there has been a deepening appreciation for the essential interdependence of brain and mind. more and more parents, teachers, and therapists are asking how brains develop, grow, connect, learn, and heal. the new edition of this book organizes this cutting-edge, abundant research and presents its compelling insights, reflecting a host of significant developments in social neuroscience. our understanding of mirror neurons and their significance to human relationships has continued to expand and deepen and is discussed here. additionally, this edition reflects the gradual shift in focus from individual brain structures to functional neural systems-an important and necessary step forward. a great deal of neural overlap has been discovered in brain activation when we are thinking about others and ourselves. this raises many questions, including how we come to know others and whether the notion of an ""individual self"" is anything more than an evolutionary strategy to support our interconnection. in short, we are just beginning to see the larger implications of all neurological processes-how the architecture of the brain can help us to better understand individuals and our relationships. this book gives readers a deeper appreciation of how and why relationships have the power to reshape our brains throughout our life.",,FALSE
669,K,Differentiating the cognition-emotion interactions that characterize psychopathy versus externalizing.,"Baskin-Sommers, Arielle R; Newman, Joseph P",Handbook of cognition and emotion.,2013,"the primary goal of this chapter is to distinguish between the cognitive-affective processes contributing to psychopathy and externalizing. toward this end, we (1) review key findings in psychopathy and externalizing for the purpose of identifying their respective attentional, executive functioning, and affective abnormalities; (2) introduce an integrative model of cognitive-affective interactions as a framework for specifying and distinguishing the dysfunctional interactions operating in psychopathy and externalizing; and (3) based on the proposed model, discuss treatment implications for these syndromes. before continuing, it is important to note that the scope of the studies reviewed in this chapter is not all-inclusive. we specifically examine reports that help us characterize and distinguish the dysfunctional cognition-emotion interactions operating in psychopathy and externalizing. in our view, failure to distinguish the dysfunctional cognitive-affective interactions associated with psychopathy and externalizing is a primary factor impeding etiological understanding as well as the development of more successful treatment strategies in both domains.",,FALSE
670,R,Neurogenetics approaches: Insights from studies of dopamine signaling and reward processing.,"Nikolova, Yuliya S; Bogdan, Ryan; Hariri, Ahmad R",Handbook of cognition and emotion.,2013,"this chapter aims to review the basic principles of imaging genetics research as they pertain to a specific behavior, which exemplifies important aspects of the adaptive integration of emotion and cognition. the chapter focuses on reward processing-a behavioral and neural phenomenon whereby information regarding the appetitive value of stimuli in one's environment is collected, stored, and utilized to promote survival and well-being. this particular phenotype was chosen not only because of the increasingly sophisticated knowledge of the anatomy and physiology of its neurobiological substrates, but also because of its wide relevance to understanding both adaptive and maladaptive aspects of behavior: individual differences in reward processing on the level of the brain have been linked to normal-range interindividual variability in personality constructs such as impulsivity and reward sensitivity (forbes et al., 2009; hariri et al., 2006), as well as to maladaptive extremes of behavior such as substance use disorders (petry 8c casarella, 1999) and depression (steele, kumar, 8c ebmeier, 2007).",,FALSE
672,R,Executive function.,"Carlson, Stephanie M; Zelazo, Philip David; Faja, Susan",The Oxford handbook of developmental psychology (Vol 1): Body and mind.,2013,"executive function (ef) refers to the set of neurocognitive skills involved in goal-directed problem solving, including working memory, inhibitory control, and set shifting/flexibility. executive function depends importantly upon neural networks involving prefrontal cortex, and continues to improve into early adulthood, although major advances in ef occur during the preschool period. individual differences in ef are increasingly recognized as a key predictor of long-term cognitive and social developmental outcomes. research suggests that ef is influenced by both distal and proximal factors in development (e.g., socioeconomic status, culture, language, caregiving, gene-environment interactions, and sleep). importantly, ef can be trained, with corresponding changes to brain structure and function. in this chapter, we review the structure of ef, including ""hot ef"" (ef in motivationally significant contexts), age-related changes, atypical development, measurement issues, theories of underlying mechanisms, outcomes associated with ef, influences on ef development, and the recent emergence of training studies.",,FALSE
687,R,Introduction to addictive behaviors.,"Thombs, Dennis L; Osborn, Cynthia J",Introduction to addictive behaviors.,2013,"this widely adopted text introduces students and practitioners to major contemporary models of addiction. assuming no prior knowledge in the field, the book shows how theory and research can offer a roadmap for effective intervention. it presents multiple perspectives on the causes and mechanisms of substance use problems, reviews their strengths and limitations, and examines their implications for helping people change their behavior. evidence-based treatment and prevention strategies are described. clearly organized and accessible, the text includes concise end-of-chapter summaries and review questions in every chapter. new to this edition: the latest research on prevention and treatment, including current data and revised discussions of genetic influences, family treatment models, and many other topics; updated for dsm-5; a chapter on behavioral addictions; a chapter on promoting motivation and autonomy; and a chapter on evidence-based practice.",,FALSE
693,G,Decision-making in adolescents: Performance under different conditions of information and alcohol intoxication.,"Acna, Ignacio; Castillo, Daniela; Bechara, Antoine; Godoy, Juan Carlos",Toma de decisiones en adolescentes: Rendimiento bajo diferentes condiciones de informacion e intoxicacion alcoholica.,2013,"the aim was to assess decision-making in adolescents. to this, we used the iowa gambling task (igt) and the game of dice task (gdt). we used an experimental design with pre-post-test where we manipulated the treatment (intoxicated/non intoxicated) and the information received (true/false). 77 volunteers were evaluated between 18 and 25 years old. data was analyzed using anova. we found differences between men and women in different scores on the igt and gdt. sex-related effects of the participants agreed with other studies. the better performance of women on the gdt can be explained taking into account that executive functions are involved in task execution, at which women perform better. finally, results related to intoxication suggest that alcohol affects the quality of decision making.",,FALSE
695,U,A systematic review of impulse control disorders in Parkinson's disease.,"Callesen, Mette Buhl; Scheel-Kruger, Jorgen; Kringelbach, Morten L; Moller, Arne",Journal of Parkinson's Disease,2013,"throughout the past decade it has been recognized that dopaminergic medication administered to remedy motor symptoms in parkinson's disease is associated with an enhanced risk for impulse control disorders and related compulsive behaviors such as hobbyism, punding, and the dopamine dysregulation syndrome. these complications are relatively frequent, affecting 6-15.5% of patients, and they most often appear, or worsen, after initiation of dopaminergic therapy or dosage increase. recently, impulse control disorders have also been associated with subthalamic nucleus deep brain stimulation. here we present a systematic overview of literature published between 2000 and january 2013 reporting impulse control disorders in parkinson's disease. we consider prevalence rates and discuss the functional neuroanatomy, the impact of dopamine-serotonin interactions, and the cognitive symptomatology associated with impulse control disorders in parkinson's disease. finally, perspectives for future research and management of impulse control disorders in parkinson's disease are discussed.",10.3233/JPD-120165,FALSE
