title,abstract,authors,year,keywords,orig_index,data_ret_flag,hollow_flag,grey_flag,update_flag,doi
Should We Control? The Interplay Between Cognitive Control and Information Integration in the Resolution of the Exploration-Exploitation Dilemma.,"In their daily decisions, humans and animals are often confronted with the conflicting choice of opting either for a rewarding familiar option (i.e., exploitation) or for a novel, uncertain option that may, however, yield a better reward in the near future (i.e., exploration). Despite extensive research, the cognitive mechanisms that subtend the manner in which humans solve this exploration-exploitation dilemma are still poorly understood. In this study, we challenge the popular assumption that exploitation is a global default strategy that must be suppressed by means of cognitive control mechanisms so as to enable exploratory strategies. To do so, we asked participants to engage in a challenging working memory task while performing repeated choices in a gambling task. Results showed that manipulating cognitive control resources exclusively hindered participants’ ability to explore the environment in a directed, intentional manner. Moreover, under certain scenarios, adopting exploitative strategies was also dependent on the availability of cognitive control resources. Additional analyses using a recent computational model of information integration suggests that increasing cognitive load specifically interferes with the ability to combine reward and information in order to inform choices. Our results shed light on the cognitive mechanisms that underpin the resolution of the dilemma and provide a formal foundation through which to explore pathologies of goal-directed behavio","Cogliati Dezza, I; Cleeremans, A; Alexander, W",2019,cognitive control; reinforcement learning; adaptive behaviors; exploration-exploitation dilemma; informative value,1134,manual,FALSE,FALSE,U,10.1037/xge0000546
Intestinal Glucose Absorption Is a Key Determinant of 1-Hour Postload Plasma Glucose Levels in Nondiabetic Subjects.,,"Tric√≤, D; Mengozzi, A; Frascerra, S; Scozzaro, MT; Mari, A; Natali, A",2019,,1135,manual,TRUE,TRUE,U,10.1210/jc.2018-02166
Debiasing of Gambling Beliefs and Behaviors Using a Digital Gambling Accelerator.,"Problem gamblers tend to adhere to rigid rules about the chances of winning and are resistant to counterfactual information. To promote a more accurate understanding of the odds of scratch-off ticket gambling, we created a brief debiasing intervention consisting of a digital gambling accelerator program that offers demonstrations of the long-term outcomes of gambling. Using a sample of nontreatment seeking scratch-off lottery gamblers recruited from the community (42 subclinical and 45 probable pathological gamblers), we compared the accelerator intervention to brief motivational interviewing (MI) and a control condition. Participants rated their chances of winning, urge to gamble, and readiness to change before and after the interventions. Self-reported dollar amount spent on scratch-off tickets and number of days gambled were assessed at baseline and again at 2- and 4-week follow-ups. Following the active interventions, gamblers in both conditions reported greater readiness to change than controls, and those in the accelerator condition also gave lower ratings of their chances of winning and urge to gamble. Marginal models showed participants in the accelerator condition gambled fewer days at the 2-week follow-up and spent less money at both the 2- and 4-week follow-ups compared to controls; no other between-subjects differences achieved statistical significance. Digital gambling accelerators can impact several clinically relevant domains of gambling and may be useful as stand-alone or adjunct interventions to treat gambling problems","Broussard, J; Wulfert, E",2019,problem gambling; brief computer simulation; debiasing interventions; erroneous cognition; experiential learning,1136,manual,FALSE,FALSE,U,10.1037/adb0000463
Meeting Abstracts from the 2019 IFFS Shanghai World Congress.,,,2019,,1142,manual,TRUE,TRUE,U,10.1097/GRH.0000000000000030
"Mice Are People Too: Increasing Evidence for Cognitive, Emotional and Social Capabilities in Laboratory Rodents.",,"Mogil, JS",2019,cognition; emotion; personality; altruism; altruisme; empathie; empathy; personnalite,1149,manual,TRUE,FALSE,R,10.1037/cap0000166
Glucose metabolism in patients with psoriasis.,,"Friis, N; Hoffmann, N; Gyldenl√∏ve, M; Skov, L; Vilsb√∏ll, T; Knop, F; Storgaard, H",2019,,1150,manual,FALSE,FALSE,R,10.1111/bjd.17349
A Systematic Review of Interventions for Hot and Cold Executive Functions in Children and Adolescents With Acquired Brain Injury.,"We investigated interventions, which aimed to improve cold and hot executive functions (EFs) in children and adolescents with a diagnosis of acquired brain injury (ABI).

Methods
The following electronic databases were searched: Medline, CINAHL, PsycINFO, and Pubmed. The database filters limited the search to articles published between 1990 and July 2017 in English or Spanish, including children and adolescents. Articles were read and classified according to the levels of evidence of the Australian National Health and Medical Research Council and the Downs and Black checklist was used for Measuring Study Quality.

Results
Thirty studies are reported in this systematic review. Level of evidence, quality of the studies, characteristics of the participants, interventions implemented, and outcomes are described.

Conclusions
The study of rehabilitation for executive dysfunction in children with ABI is emerging. Although few high-quality intervention studies exist in this area, which limits conclusions regarding intervention efficacy, results of existing studies suggest that education for parents may be an important component of intervention. Moreover, caregiver involvement may improve the effectiveness of hot EFs rehabilitation interventions, while high intervention session frequency may be important in improving cold EFs. Positive behavior supports and specific training based on a cognitive model provided some promising findings, which require further evaluation","Chavez-Arana, C; Catroppa, C; Carranza-Esc√°rcega, E; Godfrey, C; Y√°√±ez-T√©llez, G; Prieto-Corona, B; de Le√≥n, MA; Anderson, V",2018,executive functions; adolescents; children; acquired brain injury; intervention; rehabilitation and systematic review,1158,manual,FALSE,FALSE,U,10.1093/jpepsy/jsy013
Catecholaminergic Modulation of the Avoidance of Cognitive Control.,"The catecholamines have long been associated with cognitive control and value-based decision-making. More recently, we proposed that the catecholamines might modulate value-based decision-making about whether or not to engage in cognitive control. We test this hypothesis by assessing effects of a catecholamine challenge in a large sample of young, healthy adults (n = 100) on the avoidance of a cognitively demanding control process: task switching. Prolonging catecholamine transmission by blocking reuptake with methylphenidate altered the avoidance, but not the execution of cognitive control. Crucially, these effects could be isolated by taking into account individual differences in trait impulsivity, so that participants with higher trait impulsivity became more avoidant of cognitive control, despite faster task performance. One implication of these findings is that performance-enhancing effects of methylphenidate may be accompanied by an undermining effect on the willingness to exert cognitive control. Taken together, these findings integrate hitherto segregated literatures on catecholamines’ roles in value-based learning/choice and cognitive control","Frob√∂se, MI; Swart, JC; Cook, JL; Geurts, DEM; den Ouden, HEM; Cools, R",2018,cognitive control; avoidance learning; cognitive effort; methylphenidate; task switching,1162,manual,FALSE,FALSE,U,10.1037/xge0000523
"2018 Peripheral Nerve Society Annual Meeting 21-25 July, 2018 Baltimore, Maryland.",,,2018,,1163,manual,TRUE,TRUE,U,10.1111/jns.12290
Delay Discounting in Traumatic Brain Injury: A Potential Avenue for Growth in Experimental Analysis.,"Delay discounting has emerged in the scientific literature as a frequent measure of impulsivity across a large number of populations. Because of the high rates of impulsivity in individuals who have sustained a brain injury, measures of discounting that put choices into a temporal context may be particularly valuable in behavioral analyses for this population. However, experimental research with this population is limited. Advantages and challenges for further study in delay discounting with brain injury populations and future directions are discussed","Gunnarsson, KF; Whiting, SW; Sims, C",2018,delay discounting; impulsivity; quantitative analysis; translational research; traumatic brain injury,1167,manual,FALSE,FALSE,U,10.1037/bar0000115
Abstracts.,,,2018,,1168,manual,TRUE,TRUE,U,10.1002/mds.116
143rd Annual Meeting American Neurological Association.,,,2018,,1169,manual,TRUE,TRUE,U,10.1002/ana.25331
Intrinsic Whole Number Bias in Humans.,"Humans have great difficulty comparing quotients including fractions, proportions, and probabilities and often erroneously isolate the whole numbers of the numerators and denominators to compare them. Some have argued that the whole number bias is a compensatory strategy to deal with difficult comparisons. We examined adult humans’ preferences for gambles that differed only in numerosity, and not in factors that influence their expected value (probabilities and stakes). Subjects consistently preferred gambles with more winning balls to ones with fewer, even though the probabilities were mathematically identical, replicating prior results. In a second experiment, we found that subjects accurately represented the relative probabilities of the choice options during rapid nonverbal probability judgments but nonetheless showed biases based on whole numbers. We mathematically formalized and quantitatively evaluated cognitive rules based on existing hypotheses that attempt to explain subjects’ whole number biases during quotient comparisons. The results show that the whole number bias is intrinsic to the way humans solve quotient comparisons rather than a compensatory strategy","Alonso-D√≠az, S; Piantadosi, ST; Hayden, BY; Cantlon, JF",2018,Bayesian model; fraction; numerosity; probability; whole number bias,1172,manual,FALSE,FALSE,U,10.1037/xhp0000544
Acute Cardiovascular Care 2018.,,,2018,,1179,manual,TRUE,TRUE,U,10.1177/2048872617751067
Abstracts-Posters.,,,2018,,1183,manual,TRUE,TRUE,U,10.1111/acer.13747
Scientific Abstracts and Sessions.,,,2018,,1184,manual,TRUE,TRUE,U,10.1002/mp.12938
Consequences for Peers Differentially Bias Computations About Risk Across Development.,"Adolescents routinely take risks that impact the well-being of the friends they are with. However, it remains unclear when and how consequences for friends factor into decisions to take risks. Here we used an economic decision-making task to test whether risky choices are guided by the positive and negative consequences they promise for peers. Across a large developmental sample of participants ages 12–25, we show that risky decision computations increasingly assimilate friends’ outcomes throughout adolescence into early adulthood in an asymmetric manner that overemphasizes protecting friends from incurring loss. Whereas adults accommodated friend outcomes to a greater degree when the friend was present and witnessing these choices, adolescents did so regardless of whether a friend could witness their decisions, highlighting the fundamentality of adolescent social motivations. By demonstrating that outcomes for another individual can powerfully tune an actor’s risk tolerance, these results identify a key factor underlying peer-related motivations for risky behavior, with implications for the law and risk-prevention","Powers, KE; Yaffe, G; Hartley, CA; Davidow, JY; Kober, H; Somerville, LH",2018,decision-making; risk; development; adolescence; peer influence,1189,manual,FALSE,FALSE,U,10.1037/xge0000389
"Impaired fasting glucose and the metabolic profile in Danish children and adolescents with normal weight, overweight, or obesity.","Whether the definitions of impaired fasting glucose (IFG) from the American Diabetes Association (ADA) and the World Health Organization (WHO) differentially impact estimates of the metabolic profile and IFG-related comorbidities in Danish children and adolescents is unknown.

Methods
Two thousand one hundred and fifty four (979 boys) children and adolescents with overweight or obesity (median age 12 years) and 1824 (728 boys) children with normal weight (median age 12 years) from The Danish Childhood Obesity Biobank were studied. Anthropometrics, blood pressure, puberty, and fasting concentrations of glucose, insulin, glycosylated hemoglobin (HbA1c), and lipids were measured.

Results
About 14.1% of participants with overweight or obesity exhibited IFG according to the ADA and 3.5% according to the WHO definition. Among individuals with normal weight, the corresponding prevalences were 4.3% and 0.3%. IFG was associated with a higher systolic blood pressure, higher concentrations of HbA1c, insulin, C-peptide (P_<_.0001) and triglycerides (P_=_.03), and lower HOMA2-IS and HOMA2-B (P_<_.0001) independent of sex, age, puberty, waist-to-height ratio, and degree of obesity. Furthermore, IFG was associated with a higher risk for hypertension (OR_=_1.66 [95%CI: 1.21; 2.28], P_=_.002) and dyslipidemia (OR_=_1.90 [95%CI: 1.38; 2.56], P_<_.0001) compared with the group without IFG independent of age, sex, and puberty.

Conclusions
The prevalence of IFG, when applying the ADA criterion compared with the WHO criterion, was 4 times higher in individuals with overweight and obesity and 14 times higher in individuals with normal weight in this study sample of children and adolescents. IFG was associated with a higher risk of hypertension and dyslipidemia compared with their normoglycemic peers regardless of the definition applied","Kloppenborg, JT; Fonvig, CE; Nielsen, TRH; Mollerup, PM; B√∏js√∏e, C; Pedersen, O; Johannesen, J; Hansen, T; Holm, J",2018,obesity; children; glucose metabolism; impaired fasting glucose,1190,manual,FALSE,FALSE,U,10.1111/pedi.12604
Abstracts.,,,2018,,1192,manual,TRUE,TRUE,U,10.1111/bcpt.12968
2017 Diabetes Technology Meeting Abstracts.,,,2018,,1194,manual,TRUE,TRUE,U,10.1177/1932296818761742
The Role of Diabetes Care and Its Contributions to the Field of Diabetes: A Profile in Progress.,"Progress in the field of diabetes comes from many sources, including novel ideas, research breakthroughs, expanding therapeutic options, technological advances, charismatic personalities, and enhanced communication between the scientific and clinical communities. It is in the latter realm that the American Diabetes Association’s (ADA’s) journal Diabetes Care has played an increasingly important role since its founding in 1978. Through the years, the journal has grown to become both a locus for and stimulus of all the other sources of progress in diabetes clinical research and care. From its inaugural year, during which there were concerns about how to fill six issues and an acceptance rate just under 50% (1), to its present 41st volume year, with monthly issues _3,000 submissions annually, and an acceptance rate for original articles of under 10%, Diabetes Care has emerged as the premier journal in its field","Reynolds, L; Genuth, SM",2018,,1197,manual,FALSE,FALSE,U,10.2337/dci17-0021
International society for developmental psychobiology 50th annual meeting abstracts 2017.,,,2018,,1198,manual,TRUE,TRUE,U,10.1002/dev.21598
Virtually 'in the heat of the moment': insula activation in safe sex negotiation among risky men.,"HIV is most prevalent among men who have sex with men (MSM), and although most MSM use condoms consistently during casual sex, some take risks. To better understand the psychology of those risky decisions, we examined neural correlates of playing a virtual sexual ‘hook up’ game in an functional magnetic resonance imaging scanner in MSM who had, in the past 90_days, been sexually risky (N_=_76) or safe (N_=_31). We found that during potentially risky sexual choices, previously risky MSM had more right insula activity than previously safe MSM. Real-life sexual risk was related to trait positive and negative urgency. Insula activity that differentiated risky and safe MSM was related to trait positive and negative urgency. Future work should further examine if, and to what extent, insula activation during safe sex negotiation drives MSM’s rash risky sexual decision-making.","Smith, BJ; Xue, F; Droutman, V; Barkley-Levenson, E; Melrose, AJ; Miller, LC; Monterosso, JR; Bechara, A; Appleby, PR; Christensen, JL; Godoy, CG; Read, SJ",2018,fMRI; insula; men who have sex with men; negative urgency; risky decision-making; sexual health,1200,manual,FALSE,FALSE,U,10.1093/scan/nsx137
"Suboptimal Choice, Reward-Predictive Signals, and Temporal Information.","Suboptimal choice refers to preference for an alternative offering a low probability of food (suboptimal alternative) over an alternative offering a higher probability of food (optimal alternative). Numerous studies have found that stimuli signaling probabilistic food play a critical role in the development and maintenance of suboptimal choice. However, there is still much debate about how to characterize how these stimuli influence suboptimal choice. There is substantial evidence that the temporal information conveyed by a food-predictive signal governs its function as both a Pavlovian conditioned stimulus and as an instrumental conditioned reinforcer. Thus, we explore the possibility that food-predictive signals influence suboptimal choice via the temporal information they convey. Application of this temporal information-theoretic approach to suboptimal choice provides a formal, quantitative framework that describes how food-predictive signals influence suboptimal choice in a manner consistent with related phenomena in Pavlovian conditioning and conditioned reinforcement. Our reanalysis of previous data on suboptimal choice suggests that, generally speaking, preference in the suboptimal choice procedure tracks relative temporal information conveyed by food-predictive signals for the suboptimal and optimal alternatives. The model suggests that suboptimal choice develops when the food-predictive signal for the suboptimal alternative conveys more temporal information than that for the optimal alternative. Finally, incorporating a role for competition between temporal information provided by food-predictive signals and relative primary reinforcement rate provides a reasonable account of existing data on suboptimal choice","Cunningham, PJ; Shahan, TA",2018,conditioned reinforcement; suboptimal choice; information theory; temporal information; Pavlovian conditioning,1205,manual,FALSE,FALSE,U,10.1037/xan0000160
Epidemiology/ Public health.,,,2017,,1210,manual,FALSE,TRUE,U,10.1177/2047487317703545
2016 Diabetes Technology Meeting Abstracts.,,,2017,,1214,manual,TRUE,TRUE,U,10.1177/1932296817696371
Posters (Abstracts 264-2239).,,,2017,,1215,manual,TRUE,TRUE,U,10.1002/hep.29501
Emotion and the Prefrontal Cortex: An Integrative Review.,"The prefrontal cortex (PFC) plays a critical role in the generation and regulation of emotion. However, we lack an integrative framework for understanding how different emotion-related functions are organized across the entire expanse of the PFC, as prior reviews have generally focused on specific emotional processes (e.g., decision making) or specific anatomical regions (e.g., orbitofrontal cortex). Additionally, psychological theories and neuroscientific investigations have proceeded largely independently because of the lack of a common framework. Here, we provide a comprehensive review of functional neuroimaging, electrophysiological, lesion, and structural connectivity studies on the emotion-related functions of 8 subregions spanning the entire PFC. We introduce the appraisal-by-content model, which provides a new framework for integrating the diverse range of empirical findings. Within this framework, appraisal serves as a unifying principle for understanding the PFC’s role in emotion, while relative content-specialization serves as a differentiating principle for understanding the role of each subregion. A synthesis of data from affective, social, and cognitive neuroscience studies suggests that different PFC subregions are preferentially involved in assigning value to specific types of inputs: exteroceptive sensations, episodic memories and imagined future events, viscero-sensory signals, viscero-motor signals, actions, others’ mental states (e.g., intentions), self-related information, and ongoing emotions. We discuss the implications of this integrative framework for understanding emotion regulation, value-based decision making, emotional salience, and refining theoretical models of emotion. This framework provides a unified understanding of how emotional processes are organized across PFC subregions and generates new hypotheses about the mechanisms underlying adaptive and maladaptive emotional functioning","Dixon, ML; Thiruchselvam, R; Todd, R; Christoff, K",2017,decision making; emotion; prefrontal cortex; value; ventromedial,1216,manual,FALSE,FALSE,U,10.1037/bul0000096
Beyond Happiness: Building a Science of Discrete Positive Emotions.,"While trait positive emotionality and state positive-valence affect have long been the subject of intense study, the importance of differentiating among several “discrete” positive emotions has only recently begun to receive serious attention. In this article, we synthesize existing literature on positive emotion differentiation, proposing that the positive emotions are best described as branches of a “family tree” emerging from a common ancestor mediating adaptive management of fitness-critical resources (e.g., food). Examples are presented of research indicating the importance of differentiating several positive emotion constructs. We then offer a new theoretical framework, built upon a foundation of phylogenetic, neuroscience, and behavioral evidence, that accounts for core features as well as mechanisms for differentiation. We propose several directions for future research suggested by this framework and develop implications for the application of positive emotion research to translational issues in clinical psychology and the science of behavior change","Shiota, MN; Campos, B; Oveis, C; Hertenstein, MJ; Simon-Thomas, E; Keltner, D",2017,reward; dopamine; discrete emotions; evolution; positive emotion,1220,manual,FALSE,FALSE,U,10.1037/a0040456
Decisions to Attend and Drink at Party Events: The Effects of Incentives and Disincentives and Lifetime Alcohol and Antisocial Problems.,"Alcohol use disorders are associated with patterns of impulsive/risky decision making on behavioral economic decision tasks, but little is known about the factors affecting drinking-related decisions.

Methods
The effects of incentives and disincentives to attend and drink at hypothetical alcohol-related party events as a function of lifetime (LT) alcohol and antisocial problems were examined in a sample of 434 young adults who varied widely in LT alcohol and antisocial problems.

Results
Moderate and high disincentives substantially discouraged decisions to attend the party events and were associated with decisions to drink less at the party events. High versus low party incentives were associated with more attendance decisions. LT antisocial problems were associated with being less deterred from attending by moderate and high disincentives. LT alcohol problems were associated with greater attendance at high party incentive contexts. LT alcohol problems were associated with drinking more at the majority of events; however, the results indicate that young adults with high levels of alcohol problems moderate their drinking in response to moderate and high disincentives. Finally, attendance and drinking decisions on this hypothetical task were significantly related to actual drinking practices.

Conclusions
The results suggest that antisocial symptoms are associated with a reduced sensitivity to the potential negative consequences of drinking, while alcohol problems are associated with a greater sensitivity to the rewarding aspects of partying. The results also underline the value of directly assessing drinking-related decisions in different hypothetical contexts as well as assessing decisions about attendance at risky drinking events in addition to drinking amount decisions","Finn, PR; Gerst, K; Lake, A; Bogg, T",2017,Drinking; Alcohol Problems; Antisocial Problems; Decision-Making,1222,manual,FALSE,FALSE,U,10.1111/acer.13443
