
title	year	journal	issn	volume	issue	pages	authors	language	abstract	doi	keywords	orig_abstract	orig_index	T2_H2	T2_Spec	T2_H3	T2_H4	T2_H5	T2_H7	T3_H3	T3_H2	T3_Spec	T3_H4	T3_H5	T3_H6	T4_H5	T4_H4	T4_H6	T5_Spec	T5_H6	T5_H7	T2_H9	Tx_H9
"Neuropsychological, impulsive personality, and cerebral oxygenation correlates of undergraduate polysubstance use."	2010	Journal of Clinical and Experimental Neuropsychology	1380-3395	32	6	599-609	"Hammers, Dustin B; Suhr, Julie A"	English	"while the relationship between cognitive deficits and impulsive-sensation seeking has been acknowledged in prior research, the impact of impulsive personality style on substance-related cognitive deficits has not been completely elucidated. the present study explored factors related to decision making and executive functioning in 23 polysubstance-using undergraduates and 23 healthy normal controls. participants' cerebral oxygenation was measured using near-infrared spectroscopy. polysubstance users performed worse on the iowa gambling task (igt), wisconsin card sorting test (wcst), and n-back than did personality-matched controls. they also displayed less dorsolateral prefrontal oxygenation during the igt. the polysubstance group reported more antisocial characteristics and lower positive affect; controlling for these variables eliminated group differences on the n-back reaction time. results suggest that cognitive decrements can be observed in polysubstance-using undergraduates without a lifetime burden of substance use, even after accounting for impulsivity. results also highlight the importance of considering the contribution of positive mood and antisocial characteristics on executive functioning in polysubstance use."	10.1080/13803390903379599	Decision Making; *Impulsiveness; *Personality Traits; *Neuropsychology; Sensation Seeking; College Students; *Oxygenation; *Polydrug Abuse	"While the relationship between cognitive deficits and impulsive-sensation seeking has been acknowledged in prior research, the impact of impulsive personality style on substance-related cognitive deficits has not been completely elucidated. The present study explored factors related to decision making and executive functioning in 23 polysubstance-using undergraduates and 23 healthy normal controls. Participants' cerebral oxygenation was measured using near-infrared spectroscopy. Polysubstance users performed worse on the Iowa Gambling Task (IGT), Wisconsin Card Sorting Test (WCST), and N-Back than did personality-matched controls. They also displayed less dorsolateral prefrontal oxygenation during the IGT. The polysubstance group reported more antisocial characteristics and lower positive affect; controlling for these variables eliminated group differences on the N-Back reaction time. Results suggest that cognitive decrements can be observed in polysubstance-using undergraduates without a lifetime burden of substance use, even after accounting for impulsivity. Results also highlight the importance of considering the contribution of positive mood and antisocial characteristics on executive functioning in polysubstance use. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	811	0	0	0	0	0	5	0	0	3	1	0	1	0	0	2	1	2	2	2	3
Cognitive impulsivity in cocaine and heroin polysubstance abusers.	2007	Addictive Behaviors	0306-4603	32	5	950-966	"Verdejo-Garcia, Antonio J; Perales, Jose C; Perez-Garcia, Miguel"	English	"chronic abuse of psychoactive substances produces significant deficits in executive control functions (ecf). these deficits are prominent in different domains associated with cognitive impulsivity, including response inhibition and decision-making. the extent and nature of these deficits may depend on the principal substance of abuse. to analyse response inhibition and decision-making performance in abstinent polysubstance abusers (psa) of cocaine and heroin, and healthy participants. we used univariate and multivariate analyses of variance to compare the performances of cocaine and heroin psa and healthy controls on several well-validated measures of response inhibition (stroop, 5-digit test and go/no go task) and decision-making (iowa gambling task). post-hoc exploratory analyses of the results from the go/no go task were conducted to examine specific effects of task switching on the pattern of omission/commission errors in the psa groups. cocaine but not heroin psa showed significant deficits on several measures of response inhibition, when compared to controls. reversal of task contingencies in the go/no go task primarily altered the commission error rate in cocaine psa, and the omission error rate in heroin psa. in contrast, both cocaine and heroin psa showed poorer performance on decision-making compared to controls. assuming the relevance of polysubstance involvement, cocaine abuse seems to differentially correlate with motor impulsivity skills, while both substances seem to be equally linked to the inability to decide advantageously in complex decision-making tasks. possible discrepancies in the neurological and psychological effects of these drugs are discussed."	10.1016/j.addbeh.2006.06.032	Decision Making; Cognitive Ability; *Cocaine; *Impulsiveness; *Heroin; Cognitive Impairment; Response Inhibition; *Drug Abuse	"Rationale: Chronic abuse of psychoactive substances produces significant deficits in executive control functions (ECF). These deficits are prominent in different domains associated with cognitive impulsivity, including response inhibition and decision-making. The extent and nature of these deficits may depend on the principal substance of abuse. Objectives: To analyse response inhibition and decision-making performance in abstinent polysubstance abusers (PSA) of cocaine and heroin, and healthy participants. Methods: We used univariate and multivariate analyses of variance to compare the performances of cocaine and heroin PSA and healthy controls on several well-validated measures of response inhibition (Stroop, 5-Digit Test and Go/No Go Task) and decision-making (Iowa Gambling Task). Post-hoc exploratory analyses of the results from the Go/No Go task were conducted to examine specific effects of task switching on the pattern of omission/commission errors in the PSA groups. Results: Cocaine but not heroin PSA showed significant deficits on several measures of response inhibition, when compared to controls. Reversal of task contingencies in the Go/No Go task primarily altered the commission error rate in cocaine PSA, and the omission error rate in heroin PSA. In contrast, both cocaine and heroin PSA showed poorer performance on decision-making compared to controls. Conclusions: Assuming the relevance of polysubstance involvement, cocaine abuse seems to differentially correlate with motor impulsivity skills, while both substances seem to be equally linked to the inability to decide advantageously in complex decision-making tasks. Possible discrepancies in the neurological and psychological effects of these drugs are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	897	0	1	0	0	4	4	0	0	1	0	3	3	1	1	0	1	1	0	1	5
Factors associated with the absence of cocaine craving in treatment-seeking individuals during inpatient cocaine detoxification.	2021	American Journal of Drug & Alcohol Abuse	952990	47	1	127-138	"PÂrez de los Cobos, Jose; Alcaraz, Saul; Verdejo-GarcÂa, Antonio; Muoz, Laura; Siol, NÂria; FernÂndez-Serrano, Maria JosÂ; FernÂndez, Pilar; MartÂnez, Ana; Duran-Sindreu, Santiago; Batlle, Francesca; Trujols, Joan"		"anecdotal evidence suggests a substantial proportion of individuals with cocaine use disorder do not report craving during inpatient detoxification. to examine prevalence and clinical correlates of consistent absence of cocaine craving among inpatients during detoxification. we hypothesized that craving absence would be associated with less severity of cocaine use, depression, and anxiety. alternative explanations were also explored. craving absence (i.e., non-cravers) was defined as a daily score of zero across two separate craving visual analogue scales in each of the inpatient days. participants scoring Â³1 on Â³1 day were considered cravers. severity of cocaine use disorder as well as in-treatment depression and anxiety were assessed. alternative contributors included presence of cocaine and other substances in urine at admission, in-treatment prescription of psychotropic medications, treatment motivation, executive function, interoception, and social desirability. eighty-seven participants (78.2% males) met criteria as either non-cravers (n = 29; 33.3%) or cravers (n = 58; 66.7%). mean length of admission in non-cravers and cravers was, respectively, 10.83 and 13.16 days. binary logistic regression model showed that non-cravers scored significantly lower than cravers on cocaine use during last month before treatment (or, 95% ci; 0.902, 0.8390.970), in-treatment depression (or, 95% ci; 0.794, 0.6590.956), and in-treatment prescribing of antipsychotics (or, 95% ci; 0.109, 0.0140.823). model prediction accuracy was 88.9%. one in three patients undergoing inpatient detoxification experienced absence of craving, linked to less pretreatment cocaine use, better mood, and decreased administration of antipsychotics. findings may inform pretreatment strategies and improve treatment cost-effectiveness."	10.1080/00952990.2020.1833340	Cocaine; depression; COCAINE; DESIRE; EXECUTIVE function; antipsychotics; COCAINE-induced disorders; craving course; DRUG-seeking behavior; LOGISTIC regression analysis; SOCIAL desirability; urge; withdrawal	"Anecdotal evidence suggests a substantial proportion of individuals with cocaine use disorder do not report craving during inpatient detoxification. To examine prevalence and clinical correlates of consistent absence of cocaine craving among inpatients during detoxification. We hypothesized that craving absence would be associated with less severity of cocaine use, depression, and anxiety. Alternative explanations were also explored. Craving absence (i.e., non-cravers) was defined as a daily score of zero across two separate craving visual analogue scales in each of the inpatient days. Participants scoring Â³1 on Â³1 day were considered cravers. Severity of cocaine use disorder as well as in-treatment depression and anxiety were assessed. Alternative contributors included presence of cocaine and other substances in urine at admission, in-treatment prescription of psychotropic medications, treatment motivation, executive function, interoception, and social desirability. Eighty-seven participants (78.2% males) met criteria as either non-cravers (n = 29; 33.3%) or cravers (n = 58; 66.7%). Mean length of admission in non-cravers and cravers was, respectively, 10.83 and 13.16 days. Binary logistic regression model showed that non-cravers scored significantly lower than cravers on cocaine use during last month before treatment (OR, 95% CI; 0.902, 0.8390.970), in-treatment depression (OR, 95% CI; 0.794, 0.6590.956), and in-treatment prescribing of antipsychotics (OR, 95% CI; 0.109, 0.0140.823). Model prediction accuracy was 88.9%. One in three patients undergoing inpatient detoxification experienced absence of craving, linked to less pretreatment cocaine use, better mood, and decreased administration of antipsychotics. Findings may inform pretreatment strategies and improve treatment cost-effectiveness. [ABSTRACT FROM AUTHOR]"	1909	0	1	0	0	4	4	0	0	1	0	3	3	1	1	0	3	1	0	1	5
Computational modelling of reinforcement learning and functional neuroimaging of probabilistic reversal for dissociating compulsive behaviours in gambling and cocaine use disorders.	2023	BJPsych Open		10	"American Psychiatric Association. (2013). Diagnostic and Statistical Manual of Mental Disorders (5th edn). American Psychiatric Publishing, 2013."		"Zuhlsdorff, Katharina; Verdejo-Roman, Juan; Clark, Luke; Albein-Urios, Natalia; Soriano-Mas, Carles; Cardinal, Rudolf N; Robbins, Trevor W; Dalley, Jeffrey W; Verdejo-Garcia, Antonio; Kanen, Jonathan W"	English	"individuals with cocaine use disorder or gambling disorder demonstrate impairments in cognitive flexibility: the ability to adapt to changes in the environment. flexibility is commonly assessed in a laboratory setting using probabilistic reversal learning, which involves reinforcement learning, the process by which feedback from the environment is used to adjust behavior. it is poorly understood whether impairments in flexibility differ between individuals with cocaine use and gambling disorders, and how this is instantiated by the brain. we applied computational modelling methods to gain a deeper mechanistic explanation of the latent processes underlying cognitive flexibility across two disorders of compulsivity. method: we present a re-analysis of probabilistic reversal data from individuals with either gambling disorder (n = 18) or cocaine use disorder (n = 20) and control participants (n = 18), using a hierarchical bayesian approach. furthermore, we relate behavioural findings to their underlying neural substrates through an analysis of task-based functional magnetic resonanceimaging (fmri) data. we observed lower 'stimulus stickiness' in gambling disorder, and report differences in tracking expected values in individuals with gambling disorder compared to controls, with greater activity during reward expected value tracking in the cingulate gyrus and amygdala. in cocaine use disorder, we observed lower responses to positive punishment prediction errors and greater activity following negative punishment prediction errors in the superior frontal gyrus compared to controls. using a computational approach, we show that individuals with gambling disorder and cocaine use disorder differed in their perseverative tendencies and in how they tracked value neurally, which has implications for psychiatric classification."	10.1192/bjo.2023.611	*Computational Modeling; *Cocaine; *Gambling Disorder; *Neuroimaging; *Probability; *Reinforcement; *Substance Use Disorder	"Background: Individuals with cocaine use disorder or gambling disorder demonstrate impairments in cognitive flexibility: the ability to adapt to changes in the environment. Flexibility is commonly assessed in a laboratory setting using probabilistic reversal learning, which involves reinforcement learning, the process by which feedback from the environment is used to adjust behavior. Aims: It is poorly understood whether impairments in flexibility differ between individuals with cocaine use and gambling disorders, and how this is instantiated by the brain. We applied computational modelling methods to gain a deeper mechanistic explanation of the latent processes underlying cognitive flexibility across two disorders of compulsivity. Method: We present a re-analysis of probabilistic reversal data from individuals with either gambling disorder (n = 18) or cocaine use disorder (n = 20) and control participants (n = 18), using a hierarchical Bayesian approach. Furthermore, we relate behavioural findings to their underlying neural substrates through an analysis of task-based functional magnetic resonanceimaging (fMRI) data. Results: We observed lower 'stimulus stickiness' in gambling disorder, and report differences in tracking expected values in individuals with gambling disorder compared to controls, with greater activity during reward expected value tracking in the cingulate gyrus and amygdala. In cocaine use disorder, we observed lower responses to positive punishment prediction errors and greater activity following negative punishment prediction errors in the superior frontal gyrus compared to controls. Conclusions: Using a computational approach, we show that individuals with gambling disorder and cocaine use disorder differed in their perseverative tendencies and in how they tracked value neurally, which has implications for psychiatric classification. (PsycInfo Database Record (c) 2024 APA, all rights reserved)"	82	0	1	2	2	2	2	0	0	1	0	4	4	1	1	0	3	1	0	8	5
"Decision-making under risk, but not under ambiguity, predicts pathological gambling in discrete types of abstinent substance users."	2018	Frontiers in Psychiatry		9	"Adinoff, B, Devous, MD, Cooper, DB, Best, SE, Chandler, P, & Harris, T, et al. Resting regional cerebral blood flow and gambling task performance in cocaine-dependent subjects and healthy comparison subjects. Am J Psychiatry (2003) 160:1892-4 https://pubmed.ncbi.nlm.nih.gov/14514509 https://dx.doi.org/10.1176/appi.ajp.160.10.1892 2003-08520-031."		"Wilson, Michael J; Vassileva, Jasmin"	English	"this study explored how different forms of reward-based decision-making are associated with pathological gambling (pg) among abstinent individuals with prior dependence on different classes of drugs. participants had lifetime histories of either ""pure"" heroin dependence (n = 64), ""pure"" amphetamine dependence (n = 51), or polysubstance dependence (n = 89), or had no history of substance dependence (n = 133). decision-making was assessed via two neurocognitive tasks: (1) the iowa gambling task (igt), a measure of decision-making under ambiguity (i.e., uncertain risk contingencies); and (2) the cambridge gambling task (cgt), a measure of decision-making under risk (i.e., explicit risk contingencies). the main effects of neurocognitive performance and drug class on pg (defined as >= 3 dsm-iv pg symptoms) as well as their interactional effects were assessed via multiple linear regression. two cgt indices of decision-making under risk demonstrated positive main effects on pg. interaction effects indicated that the effects of decision-making under risk on pg were largely consistent across participant groups. notably, a linear relationship between greater cgt risk-taking and pg symptoms was not observed among amphetamine users, whereas igt performance was selectively and positively associated with pg in polysubstance users. overall, results indicate that reward-based decision-making under risk may represent a risk factor for pg across substance users, with some variations in these relationships influenced by specific class of substance of abuse."	10.3389/fpsyt.2018.00239	Test Construction; *Decision Making; *Impulsiveness; *Risk Taking; *Drug Dependency; Gambling Disorder	"This study explored how different forms of reward-based decision-making are associated with pathological gambling (PG) among abstinent individuals with prior dependence on different classes of drugs. Participants had lifetime histories of either ""pure"" heroin dependence (n = 64), ""pure"" amphetamine dependence (n = 51), or polysubstance dependence (n = 89), or had no history of substance dependence (n = 133). Decision-making was assessed via two neurocognitive tasks: (1) the Iowa Gambling Task (IGT), a measure of decision-making under ambiguity (i.e., uncertain risk contingencies); and (2) the Cambridge Gambling task (CGT), a measure of decision-making under risk (i.e., explicit risk contingencies). The main effects of neurocognitive performance and drug class on PG (defined as >= 3 DSM-IV PG symptoms) as well as their interactional effects were assessed via multiple linear regression. Two CGT indices of decision-making under risk demonstrated positive main effects on PG. Interaction effects indicated that the effects of decision-making under risk on PG were largely consistent across participant groups. Notably, a linear relationship between greater CGT Risk-Taking and PG symptoms was not observed among amphetamine users, whereas IGT performance was selectively and positively associated with PG in polysubstance users. Overall, results indicate that reward-based decision-making under risk may represent a risk factor for PG across substance users, with some variations in these relationships influenced by specific class of substance of abuse. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	380	0	1	2	2	2	2	0	0	1	0	3	3	1	1	0	0	4	1	8	7
Formal models of cognition and behavior.	2023	"APA handbook of neuropsychology: Neuroscience and neuromethods., Vol. 2"	1433840014 (Hardcover); 9781433840012 (Hardcover); 1433840022 (Digital (undefined format)); 9781433840029 (Digital (undefined format))		"Abrahams, S., Goldstein, L. H., Simmons, A., Brammer, M. J., Williams, S. C., Giampietro, V. P., Andrew, C. M., & Leigh, P. N. (2003). Functional magnetic resonance imaging of verbal fluency and confrontation naming using compressed image acquisition to permit overt responses. Human Brain Mapping, 20(1), 29-40. 2003-07999-004. https://dx.doi.org/10.1002/hbm.10126 https://pubmed.ncbi.nlm.nih.gov/12953304"	647-664	"Brown, Gregory G"	English	"parametric models represent cognitive and behavioral theories through the specification of a model's architecture and by the theoretical meaning of the model parameters. computational models have proven useful in analyzing neurobehavioral deficits in many neuropsychiatric and medical disorders, including alzheimer's disease, vascular dementia, schizophrenia, drug abuse, alcoholic korsakoff's syndrome, parkinson's disease, and huntington's disease. this chapter begins with a discussion of the application of parametric computational models to the study of abnormal cognition and behavior, followed by a description of three examples of parametric computational models such as signal detection theory, multinomial processing tree, and diffusion model, that can be used to model many neuropsychological tasks. the chapter concludes with a description of common assumptions formal models make, a discussion of the strengths and weaknesses of such models, a brief description of applications to brain imaging, and a discussion of software."	10.1037/0000308-032	Neuroimaging; *Computational Modeling; *Cognitive Impairment; *Behavior Disorders; *Mental Disorders; *Neuropsychological Assessment; Neuropsychiatry	"Parametric models represent cognitive and behavioral theories through the specification of a model's architecture and by the theoretical meaning of the model parameters. Computational models have proven useful in analyzing neurobehavioral deficits in many neuropsychiatric and medical disorders, including Alzheimer's disease, vascular dementia, schizophrenia, drug abuse, alcoholic Korsakoff's syndrome, Parkinson's disease, and Huntington's disease. This chapter begins with a discussion of the application of parametric computational models to the study of abnormal cognition and behavior, followed by a description of three examples of parametric computational models such as signal detection theory, multinomial processing tree, and diffusion model, that can be used to model many neuropsychological tasks. The chapter concludes with a description of common assumptions formal models make, a discussion of the strengths and weaknesses of such models, a brief description of applications to brain imaging, and a discussion of software. (PsycInfo Database Record (c) 2023 APA, all rights reserved)"	92	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
"Effects of working memory load, a history of conduct disorder, and sex on decision making in substance dependent individuals."	2013	Drug and Alcohol Dependence	0376-8716	133	2	654-660	"Fridberg, Daniel J; Gerst, Kyle R; Finn, Peter R"	English	"substance dependence and antisocial psychopathology, such as a history of childhood conduct disorder (hccd), are associated with impulsive or disadvantageous decision making and reduced working memory capacity (wmc). reducing wmc via a working memory load increases disadvantageous decision making in healthy adults, but no previous studies have examined this effect in young adults with substance dependence and hccd. method: young adults with substance dependence (subdep; n = 158, 71 female), substance dependence and hccd (subdep + hccd; n = 72, 24 female), and control participants (n = 152, 84 female) completed a test of decision making (the iowa gambling task; igt) with or without a concurrent working memory load intended to tax wmc. outcomes were (i) net advantageous decisions on the igt, and (ii) preferences for infrequent- versus frequent-punishment decks. subdep + hccd men made fewer advantageous decisions on the igt than control men without a load, but there were no group differences among women in that condition. load was associated with fewer advantageous decisions for subdep + hccd women and control men, but not for men or women in the other groups. participants showed greater preference for infrequent-punishment, advantageous decks under load as well. there are gender differences in the effects of substance dependence, hccd, and working memory load on decision making on the igt. decision making by control men and subdep + hccd women suffered the most under load. load increases preferences for less-frequent punishments, similar to a delay discounting effect. future research should clarify the cognitive and neural mechanisms underlying these effects."	10.1016/j.drugalcdep.2013.08.014	Psychopathology; *Decision Making; *Conduct Disorder; *Short Term Memory; *Human Sex Differences; *Drug Abuse	"Background: Substance dependence and antisocial psychopathology, such as a history of childhood conduct disorder (HCCD), are associated with impulsive or disadvantageous decision making and reduced working memory capacity (WMC). Reducing WMC via a working memory load increases disadvantageous decision making in healthy adults, but no previous studies have examined this effect in young adults with substance dependence and HCCD. Method: Young adults with substance dependence (SubDep; n = 158, 71 female), substance dependence and HCCD (SubDep + HCCD; n = 72, 24 female), and control participants (n = 152, 84 female) completed a test of decision making (the Iowa Gambling Task; IGT) with or without a concurrent working memory load intended to tax WMC. Outcomes were (i) net advantageous decisions on the IGT, and (ii) preferences for infrequent- versus frequent-punishment decks. Results: SubDep + HCCD men made fewer advantageous decisions on the IGT than control men without a load, but there were no group differences among women in that condition. Load was associated with fewer advantageous decisions for SubDep + HCCD women and control men, but not for men or women in the other groups. Participants showed greater preference for infrequent-punishment, advantageous decks under load as well. Conclusions: There are gender differences in the effects of substance dependence, HCCD, and working memory load on decision making on the IGT. Decision making by control men and SubDep + HCCD women suffered the most under load. Load increases preferences for less-frequent punishments, similar to a delay discounting effect. Future research should clarify the cognitive and neural mechanisms underlying these effects. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	684	0	1	0	0	4	4	0	0	1	0	3	3	0	0	1	5	2	2	1	3
Models that learn how humans learn: The case of decision-making and its disorders.	2019	PLoS Computational Biology	1553734X	15	6	Jan-33	"Dezfouli, Amir; Griffiths, Kristi; Ramos, Fabio; Dayan, Peter; Balleine, Bernard W."		"popular computational models of decision-making make specific assumptions about learning processes that may cause them to underfit observed behaviours. here we suggest an alternative method using recurrent neural networks (rnns) to generate a flexible family of models that have sufficient capacity to represent the complex learning and decision- making strategies used by humans. in this approach, an rnn is trained to predict the next action that a subject will take in a decision-making task and, in this way, learns to imitate the processes underlying subjectsÂ choices and their learning abilities. we demonstrate the benefits of this approach using a new dataset drawn from patients with either unipolar (n = 34) or bipolar (n = 33) depression and matched healthy controls (n = 34) making decisions on a two-armed bandit task. the results indicate that this new approach is better than baseline reinforcement-learning methods in terms of overall performance and its capacity to predict subjectsÂ choices. we show that the model can be interpreted using off-policy simulations and thereby provides a novel clustering of subjectsÂ learning processessomething that often eludes traditional approaches to modelling and behavioural analysis."	10.1371/journal.pcbi.1006903	Psychology; Cognition; Behavior; Decision making; Learning; Simulation and modeling; Depression; Neural networks; Learning and memory; Social sciences; Cognitive science; Neuroscience; REINFORCEMENT learning; MENTAL health; COMPUTER simulation; DECISION making; RECURRENT neural networks; Biology and life sciences; Computer and information sciences; Medicine and health sciences; Research and analysis methods; Research Article; Cognitive psychology; Careers in research; Engineering and technology; Engineers; Mental health and psychiatry; Mood disorders; People and places; Population groupings; PREDICTION models; Professions; Recurrent neural networks; Science and technology workforce; Science policy	"Popular computational models of decision-making make specific assumptions about learning processes that may cause them to underfit observed behaviours. Here we suggest an alternative method using recurrent neural networks (RNNs) to generate a flexible family of models that have sufficient capacity to represent the complex learning and decision- making strategies used by humans. In this approach, an RNN is trained to predict the next action that a subject will take in a decision-making task and, in this way, learns to imitate the processes underlying subjectsÂ choices and their learning abilities. We demonstrate the benefits of this approach using a new dataset drawn from patients with either unipolar (n = 34) or bipolar (n = 33) depression and matched healthy controls (n = 34) making decisions on a two-armed bandit task. The results indicate that this new approach is better than baseline reinforcement-learning methods in terms of overall performance and its capacity to predict subjectsÂ choices. We show that the model can be interpreted using off-policy simulations and thereby provides a novel clustering of subjectsÂ learning processessomething that often eludes traditional approaches to modelling and behavioural analysis. [ABSTRACT FROM AUTHOR]"	1971	1	2	1	3	3	1	2	0	2	2	2	2	3	3	3	2	3	3	0	0
Individual associations of adolescent alcohol use disorder versus cannabis use disorder symptoms in neural prediction error signaling and the response to novelty.	2021	Developmental Cognitive Neuroscience	1878-9293	48	"Adamson, S.J., Kay-Lambkin, F.J., Baker, A.L., Lewin, T.J., Thornton, L., Kelly, B.J., & Sellman, J.D. (2010). An improved brief measure of cannabis misuse: the Cannabis use disorders identification test-revised (CUDIT-R). Drug Alcohol Depend. 110, 137-143 https://dx.doi.org/10.1016/j.drugalcdep.2010.02.017 https://pubmed.ncbi.nlm.nih.gov/20347232 https://dx.doi.org/10.1016/j.drugalcdep.2010.02.017 2010-12688-019."		"Aloi, Joseph; Crum, Kathleen I; Blair, Karina S; Zhang, Ru; Bashford-Largo, Johannah; Bajaj, Sahil; Schwartz, Amanda; Carollo, Erin; Hwang, Soonjo; Leiker, Emily; Filbey, Francesca M; Averbeck, Bruno B; Dobbertin, Matthew; Blair, R. James R"	English	"two of the most commonly used illegal substances by adolescents are alcohol and cannabis. alcohol use disorder (aud) and cannabis use disorder (cud) are associated with poorer decision-making in adolescents. in adolescents, level of aud symptomatology has been negatively associated with striatal reward responsivity. however, little work has explored the relationship with striatal reward prediction error (rpe) representation and the extent to which any augmentation of rpe by novel stimuli is impacted. one-hundred fifty-one adolescents participated in the novelty task while undergoing functional magnetic resonance imaging (fmri). in this task, participants learn to choose novel or non-novel stimuli to gain monetary reward. level of aud symptomatology was negatively associated with both optimal decision-making and bold response modulation by rpe within striatum and regions of prefrontal cortex. the neural alterations in rpe representation were particularly pronounced when participants were exploring novel stimuli. level of cud symptomatology moderated the relationship between novelty propensity and rpe representation within inferior parietal lobule and dorsomedial prefrontal cortex. these data expand on an emerging literature investigating individual associations of aud symptomatology levels versus cud symptomatology levels and rpe representation during reinforcement processing and provide insight on the role of neuro-computational processes underlying reinforcement learning/decision-making in adolescents."	10.1016/j.dcn.2021.100944	Rewards; Functional Magnetic Resonance Imaging; *Alcohol Use Disorder; *Symptoms; *Prediction Errors; *Striatum; *Underage Drinking; Cannabis Use Disorder	"Two of the most commonly used illegal substances by adolescents are alcohol and cannabis. Alcohol use disorder (AUD) and cannabis use disorder (CUD) are associated with poorer decision-making in adolescents. In adolescents, level of AUD symptomatology has been negatively associated with striatal reward responsivity. However, little work has explored the relationship with striatal reward prediction error (RPE) representation and the extent to which any augmentation of RPE by novel stimuli is impacted. One-hundred fifty-one adolescents participated in the Novelty Task while undergoing functional magnetic resonance imaging (fMRI). In this task, participants learn to choose novel or non-novel stimuli to gain monetary reward. Level of AUD symptomatology was negatively associated with both optimal decision-making and BOLD response modulation by RPE within striatum and regions of prefrontal cortex. The neural alterations in RPE representation were particularly pronounced when participants were exploring novel stimuli. Level of CUD symptomatology moderated the relationship between novelty propensity and RPE representation within inferior parietal lobule and dorsomedial prefrontal cortex. These data expand on an emerging literature investigating individual associations of AUD symptomatology levels versus CUD symptomatology levels and RPE representation during reinforcement processing and provide insight on the role of neuro-computational processes underlying reinforcement learning/decision-making in adolescents. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	213	0	1	2	2	2	2	0	0	1	0	3	3	1	1	0	3	1	0	8	7
"The similarities and differences in impulsivity and cognitive ability among ketamine, methadone, and non-drug users."	2016	Psychiatry Research	0165-1781	243	"Albein-Urios, N., Martinez-Gonzalez, J.M., Lozano, O., Clark, L., & Verdejo-Garcia, A. (2012). Comparison of impulsivity and working memory in cocaine addiction and pathological gambling: Implications for cocaine-induced neurotoxicity. Drug Alcohol Depend. 126, 1-6. https://pubmed.ncbi.nlm.nih.gov/22475814 https://dx.doi.org/10.1016/j.drugalcdep.2012.03.008 2013-05741-001."	109-114	"Zeng, Hong; Su, Dequan; Jiang, Xing; Zhu, Liang; Ye, Haosheng"	English	"the study aimed to identify similarities and differences among ketamine, methadone users, and non-drug-using controls, on impulsivity, antisocial personality, and related cognitive abilities. a case-control observational design was used to compare the impulsivity and cognitive function of ketamine users (n = 51), methadone users (n=59), and controls (n=60). antisocial personality traits and emotion states were also measured. one-way anovas and planned post hoc pair-wise tests were used to analyze the data. compared to non-drug-using controls, ketamine and methadone users had elevated scores on bis and pd scale of the mmpi, poorer performance on 2-back task, stop-signal task, and stroop test. ketamine users performed the worst in the 2-back accuracy and stop miss rate compared to methadone users and controls. there were no significant differences between the groups on the iowa gambling task. ketamine users did not show deficits in decision-making but exhibited strong impulsivity, antisocial personality, and poor response inhibition and working memory at levels similar to methadone users. these deficits may reflect vulnerability to addiction. this suggests that future treatment programs for ketamine users could address drug users' impulsive cognition and psychopathic deviance."	10.1016/j.psychres.2016.04.095	Cognitive Ability; *Impulsiveness; *Ketamine; *Methadone	"The study aimed to identify similarities and differences among ketamine, methadone users, and non-drug-using controls, on impulsivity, antisocial personality, and related cognitive abilities. A case-control observational design was used to compare the impulsivity and cognitive function of ketamine users (n = 51), methadone users (n=59), and controls (n=60). Antisocial personality traits and emotion states were also measured. One-way ANOVAs and planned post hoc pair-wise tests were used to analyze the data. Compared to non-drug-using controls, ketamine and methadone users had elevated scores on BIS and Pd scale of the MMPI, poorer performance on 2-back task, Stop-signal task, and Stroop test. Ketamine users performed the worst in the 2-back accuracy and Stop miss rate compared to methadone users and controls. There were no significant differences between the groups on the Iowa Gambling Task. Ketamine users did not show deficits in decision-making but exhibited strong impulsivity, antisocial personality, and poor response inhibition and working memory at levels similar to methadone users. These deficits may reflect vulnerability to addiction. This suggests that future treatment programs for ketamine users could address drug users' impulsive cognition and psychopathic deviance. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	471	0	0	0	0	0	5	0	0	3	1	0	1	0	0	2	1	2	2	2	3
