title,year,journal,issn,volume,issue,pages,authors,language,abstract,doi,keywords,orig_abstract,orig_index
Changes in Loss Sensitivity During Treatment in Concurrent Disorders Inpatients: A Computational Model Approach to Assessing Risky Decision-Making,2022,FRONTIERS IN PSYCHIATRY,1664-0640,12,,,"Todesco, S; Chao, TM; Schmid, L; Thiessen, KA; SchÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂtz, CG",English,"backgroundrecent studies have employed computational modeling to characterize deficits in aspects of decision-making not otherwise detected using traditional behavioral task outcomes. while prospect utility-based modeling has shown to differentiate decision-making patterns between users of different drugs, its relevance in the context of treatment has yet to be examined. this study investigated model-based decision-making as it relates to treatment outcome in inpatients with co-occurring mental health and substance use disorders. methods50 patients (mage = 38.5, sd = 11.4; 16f) completed the cambridge gambling task (cgt) within 2 weeks of admission (baseline) and 6 months into treatment (follow-up), and 50 controls (mage = 31.9, sd = 10.0; 25f) completed cgt under a single outpatient session. we evaluated 4 traditional cgt outputs and 5 decisional processes derived from the cumulative model. psychiatric diagnoses and discharge data were retrieved from patient health records. resultsgroups were similar in age, sex, and premorbid iq. differences in years of education were included as covariates across all group comparisons. all patients had >= 1 mental health diagnosis, with 80% having >1 substance use disorder. on the cgt, patients showed greater deliberation time and delay aversion than controls. estimated model parameters revealed higher delayed reward discounting, and lower probability distortion and loss sensitivity in patients relative to controls. from baseline to follow-up, patients (n = 24) showed a decrease in model-derived loss sensitivity and color choice bias. lastly, poorer quality of decision-making and choice consistency, and greater color choice bias independently predicted higher likelihood of treatment dropout, while none were significant in relation to treatment length of stay. conclusionthis is the first study to assess a computational model of decision-making in the context of treatment for concurrent disorders. patients were more impulsive and slower to deliberate choice than controls. while both traditional and computational outcomes predicted treatment adherence in patients, findings suggest computational methods are able to capture treatment-sensitive aspects of decision-making not accessible via traditional further research is needed to confirm findings as well as investigate the relationship between model-based decision-making and post-treatment outcomes.",10.3389/fpsyt.2021.794014,COGNITIVE MODELS; COLOR-VISION; COMORBIDITY; concurrent disorders; decision-making; DEFICITS; DEPENDENT PATIENTS; DRUG; drug use; impulsivity; IMPULSIVITY; mental health; MENTAL-HEALTH; PREVALENCE; SUBSTANCE USE DISORDERS; treatment outcome,"BackgroundRecent studies have employed computational modeling to characterize deficits in aspects of decision-making not otherwise detected using traditional behavioral task outcomes. While prospect utility-based modeling has shown to differentiate decision-making patterns between users of different drugs, its relevance in the context of treatment has yet to be examined. This study investigated model-based decision-making as it relates to treatment outcome in inpatients with co-occurring mental health and substance use disorders. Methods50 patients (Mage = 38.5, SD = 11.4; 16F) completed the Cambridge Gambling Task (CGT) within 2 weeks of admission (baseline) and 6 months into treatment (follow-up), and 50 controls (Mage = 31.9, SD = 10.0; 25F) completed CGT under a single outpatient session. We evaluated 4 traditional CGT outputs and 5 decisional processes derived from the Cumulative Model. Psychiatric diagnoses and discharge data were retrieved from patient health records. ResultsGroups were similar in age, sex, and premorbid IQ. Differences in years of education were included as covariates across all group comparisons. All patients had >= 1 mental health diagnosis, with 80% having >1 substance use disorder. On the CGT, patients showed greater Deliberation Time and Delay Aversion than controls. Estimated model parameters revealed higher Delayed Reward Discounting, and lower Probability Distortion and Loss Sensitivity in patients relative to controls. From baseline to follow-up, patients (n = 24) showed a decrease in model-derived Loss Sensitivity and Color Choice Bias. Lastly, poorer Quality of Decision-Making and Choice Consistency, and greater Color Choice Bias independently predicted higher likelihood of treatment dropout, while none were significant in relation to treatment length of stay. ConclusionThis is the first study to assess a computational model of decision-making in the context of treatment for concurrent disorders. Patients were more impulsive and slower to deliberate choice than controls. While both traditional and computational outcomes predicted treatment adherence in patients, findings suggest computational methods are able to capture treatment-sensitive aspects of decision-making not accessible via traditional methods. Further research is needed to confirm findings as well as investigate the relationship between model-based decision-making and post-treatment outcomes.",12
A computational model of the Cambridge gambling task with applications to substance use disorders,2020,DRUG AND ALCOHOL DEPENDENCE,0376-8716,206,,,"Romeu, RJ; Haines, N; Ahn, WY; Busemeyer, JR; Vassileva, J",English,"impulsivity is central to all forms of externalizing psychopathology, including problematic substance use. the cambridge gambling task (cgt) is a popular neurocognitive task used to assess impulsivity in both clinical and healthy populations. however, the traditional methods of analysis in the cgt do not fully capture the multiple cognitive mechanisms that give rise to impulsive behavior, which can lead to underpowered and difficult-to-interpret behavioral measures. the current study presents the cognitive modeling approach as an alternative to traditional methods and assesses predictive and convergent validity across and between approaches. we used hierarchical bayesian modeling to fit a series of cognitive models to data from healthy controls (n = 124) and individuals with histories of substance use disorders (heroin: n = 79; amphetamine: n = 76; polysubstance: n = 103; final total across groups n = 382). using bayesian model comparison, we identified the best fitting model, which was then used to identify differences in cognitive model parameters between groups. the cognitive modeling approach revealed differences in quality of decision making and impulsivity between controls and individuals with substance use disorders that traditional methods alone did not detect. crucially, convergent validity between traditional measures and cognitive model parameters was strong across all groups. conclusion: the cognitive modeling approach is a viable method of measuring the latent mechanisms that give rise to choice behavior in the cgt, which allows for stronger statistical inferences and a better understanding of impulsive and risk-seeking behavior.",10.1016/j.drugalcdep.2019.107711,ADDICTION; Cambridge gambling task; Cognitive modeling; COGNITIVE MODELS; Computational; Decision-making; DECISION-MAKING; DEFICITS; DEPENDENT PATIENTS; HEROIN; Impulsivity; IMPULSIVITY; OPIATE; PREFRONTAL CORTEX; RELAPSE; Substance use,"Background: Impulsivity is central to all forms of externalizing psychopathology, including problematic substance use. The Cambridge Gambling task (CGT) is a popular neurocognitive task used to assess impulsivity in both clinical and healthy populations. However, the traditional methods of analysis in the CGT do not fully capture the multiple cognitive mechanisms that give rise to impulsive behavior, which can lead to underpowered and difficult-to-interpret behavioral measures. Objectives: The current study presents the cognitive modeling approach as an alternative to traditional methods and assesses predictive and convergent validity across and between approaches. Methods: We used hierarchical Bayesian modeling to fit a series of cognitive models to data from healthy controls (N = 124) and individuals with histories of substance use disorders (Heroin: N = 79; Amphetamine: N = 76; Polysubstance: N = 103; final total across groups N = 382). Using Bayesian model comparison, we identified the best fitting model, which was then used to identify differences in cognitive model parameters between groups. Results: The cognitive modeling approach revealed differences in quality of decision making and impulsivity between controls and individuals with substance use disorders that traditional methods alone did not detect. Crucially, convergent validity between traditional measures and cognitive model parameters was strong across all groups. Conclusion: The cognitive modeling approach is a viable method of measuring the latent mechanisms that give rise to choice behavior in the CGT, which allows for stronger statistical inferences and a better understanding of impulsive and risk-seeking behavior.",3
Neural circuits linking sleep and addiction: Animal models to understand why select individuals are more vulnerable to substance use disorders after sleep deprivation.,2020,Neurosci Biobehav Rev,0149-7634,108,"oa7, 7806090",435-444," ahmed, omar;  ahmed, omar j; ahrens, allison; ahrens, allison m",,"highlights:, there is individual variation in the effects of sleep loss on reward circuitry., this individual variation has been difficult to study in preclinical animal models., there exists a sign/goal tracker model of individual differences in cued motivation., there is overlapping circuitry responsible for both sleep and st/gt behavior., * st/gt model can be used to study individual variation in sleep-reward interactions., individuals differ widely in their drug-craving behaviors. one reason for these differences involves sleep. sleep disturbances lead to an increased risk of substance use disorders and relapse in only some individuals. while animal studies have examined the impact of sleep on reward circuitry, few have addressed the role of individual differences in the effects of altered sleep. there does, however, exist a rodent model of individual differences in reward-seeking behavior: the sign/goal-tracker model of pavlovian conditioned approach. in this model, only some rats show the key behavioral traits associated with addiction, including impulsivity and poor attentional control, making this an ideal model system to examine individually distinct sleep-reward interactions. here, we describe how the limbic neural circuits responsible for individual differences in incentive motivation overlap with those involved in sleep-wake regulation, and how this model can elucidate the common underlying mechanisms. consideration of individual differences in preclinical models would improve our understanding of how sleep interacts with motivational systems, and why sleep deprivation contributes to addiction in only select individuals.,",10.1016/j.neubiorev.2019.11.007, *animal models;  *individual differences;  *sleep;  *substance use disorder;  animal behavior;  goal-tracking;  incentive salience;  incentives;  reinforcement;  reward;  sign-tracking;  sleep;  sleep deprivation; *rewards; individual differences,"Highlights:, * There is individual variation in the effects of sleep loss on reward circuitry., * This individual variation has been difficult to study in preclinical animal models., * There exists a Sign/Goal Tracker model of individual differences in cued motivation., * There is overlapping circuitry responsible for both sleep and ST/GT behavior., * ST/GT model can be used to study individual variation in sleep-reward interactions., Individuals differ widely in their drug-craving behaviors. One reason for these differences involves sleep. Sleep disturbances lead to an increased risk of substance use disorders and relapse in only some individuals. While animal studies have examined the impact of sleep on reward circuitry, few have addressed the role of individual differences in the effects of altered sleep. There does, however, exist a rodent model of individual differences in reward-seeking behavior: the sign/goal-tracker model of Pavlovian conditioned approach. In this model, only some rats show the key behavioral traits associated with addiction, including impulsivity and poor attentional control, making this an ideal model system to examine individually distinct sleep-reward interactions. Here, we describe how the limbic neural circuits responsible for individual differences in incentive motivation overlap with those involved in sleep-wake regulation, and how this model can elucidate the common underlying mechanisms. Consideration of individual differences in preclinical models would improve our understanding of how sleep interacts with motivational systems, and why sleep deprivation contributes to addiction in only select individuals., (C) 2020Elsevier, Inc.",2914
Cognitive mechanisms in risky decision-making in cannabis users,2014,ADICCIONES,0214-4840,26,2,146-158,"Alameda-BailÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂn, JR; Salguero-AlcaÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂiz, MP; MerchÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂn-Clavellino, A; PaÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂno-Quesada, S",Spanish,"the relationship between the use of cannabis and the decision-making processes was explored. a computerized version of the iowa gambling task (cards software) in its normal and reverse version was used, and the prospect valence learning (pvl) model, which characterize the process of decision-making based on the parameters: recency, consistency, loss aversion and utility shape, was applied. seventy-three cannabis consumers and a control group with 73 non-consumers participated in the study. in the normal mode, subjects in the control group scored higher than cannabis consumers. both groups showed consistent responses and aversion to loss. non-consumers showed greater influence of the gain-loss frequency, while consumers were more influenced by the magnitude of the gain-loss. the influence of immediate choices was higher among consumers who showed a quick oblivion while in the control group this process was more gradual. in the reverse mode, task performance was better among control group participants. both groups showed consistency, loss aversion, more influenced by the magnitude of the gain-loss, and low influence of immediate elections. the results show the relationship between drug use and the decision-making processes, being consistent with the results obtained in other studies where consumers had worse results than control group. moreover, the pvl parameters allow to adequately characterize decision-making. this confirms the relationship between drug use and decision-making by either the vulnerability prior to consumption or the neurotoxicity of drugs.",10.20882/adicciones.16,ADOLESCENTS; cannabis; decision-making; FUTURE CONSEQUENCES; Iowa Gambling Task; IOWA-GAMBLING-TASK; LEARNING-MODELS; MARIJUANA USERS; ORBITOFRONTAL CORTEX; PERFORMANCE; Prospect Valence Learning; SEX-DIFFERENCES; SOMATIC MARKER HYPOTHESIS; somatic markers; VENTROMEDIAL PREFRONTAL CORTEX,"The relationship between the use of cannabis and the decision-making processes was explored. A computerized version of the Iowa Gambling Task (Cards Software) in its normal and reverse version was used, and the Prospect Valence Learning (PVL) model, which characterize the process of decision-making based on the parameters: Recency, Consistency, Loss aversion and Utility shape, was applied. Seventy-three cannabis consumers and a control group with 73 non-consumers participated in the study. In the normal mode, subjects in the control group scored higher than cannabis consumers. Both groups showed consistent responses and aversion to loss. Non-consumers showed greater influence of the gain-loss frequency, while consumers were more influenced by the magnitude of the gain-loss. The influence of immediate choices was higher among consumers who showed a quick oblivion while in the control group this process was more gradual. In the reverse mode, task performance was better among control group participants. Both groups showed consistency, loss aversion, more influenced by the magnitude of the gain-loss, and low influence of immediate elections. The results show the relationship between drug use and the decision-making processes, being consistent with the results obtained in other studies where consumers had worse results than control group. Moreover, the PVL parameters allow to adequately characterize decision-making. This confirms the relationship between drug use and decision-making by either the vulnerability prior to consumption or the neurotoxicity of drugs.",37
Serotonin and dopamine play complementary roles in gambling to recover losses.,2011,Neuropsychopharmacology,0893-133X,36,2,402-410,"Campbell-Meiklejohn, Daniel; Wakeley, Judi; Herbert, Vanessa; Cook, Jennifer; Scollo, Paolo; Ray, Manaan Kar; Selvaraj, Sudhakar; Passingham, Richard E; Cowen, Phillip; Rogers, Robert D",English,"continued gambling to recover losses-'loss chasing'-is a prominent feature of social and pathological gambling. however, little is known about the neuromodulators that influence this behavior. in three separate experiments, we investigated the role of serotonin activity, d2/d3 receptor activity, and beta-adrenoceptor activity on the loss chasing of age and iq-matched healthy adults randomized to treatment or an appropriate control/placebo. in experiment 1, participants consumed amino-acid drinks that did or did not contain the serotonin precursor, tryptophan. in experiment 2, participants received a single 176 microg dose of the d2/d3 receptor agonist, pramipexole, or placebo. in experiment 3, participants received a single 80 mg dose of the beta-adrenoceptor blocker, propranolol, or placebo. following treatment, participants completed a computerized loss-chasing game. mood and heart rate were measured at baseline and following treatment. tryptophan depletion significantly reduced the number of decisions made to chase losses, and the number of consecutive decisions to chase, in the absence of marked changes in mood. by contrast, pramipexole significantly increased the value of losses chased and diminished the value of losses surrendered. propranolol markedly reduced heart rate, but produced no significant changes in loss-chasing behavior. loss chasing can be thought of as an aversively motivated escape behavior controlled, in part, by the marginal value of continued gambling relative to the value of already accumulated losses. serotonin and dopamine appear to play dissociable roles in the tendency of individuals to gamble to recover, or to seek to 'escape' from, previous losses. serotonergic activity seems to promote the availability of loss chasing as a behavioral option, whereas d2/d3 receptor activity produces complex changes in the value of losses judged worth chasing. sympathetic arousal, at least as mediated by beta-adrenoceptors, does not play a major role in laboratory-based loss-chasing choices.",10.1038/npp.2010.170,*Gambling; *Dopamine; *Drug Therapy; Gambling Disorder; *Serotonin; Tryptophan,"Continued gambling to recover losses-'loss chasing'-is a prominent feature of social and pathological gambling. However, little is known about the neuromodulators that influence this behavior. In three separate experiments, we investigated the role of serotonin activity, D2/D3 receptor activity, and beta-adrenoceptor activity on the loss chasing of age and IQ-matched healthy adults randomized to treatment or an appropriate control/placebo. In Experiment 1, participants consumed amino-acid drinks that did or did not contain the serotonin precursor, tryptophan. In Experiment 2, participants received a single 176 microg dose of the D2/D3 receptor agonist, pramipexole, or placebo. In Experiment 3, participants received a single 80 mg dose of the beta-adrenoceptor blocker, propranolol, or placebo. Following treatment, participants completed a computerized loss-chasing game. Mood and heart rate were measured at baseline and following treatment. Tryptophan depletion significantly reduced the number of decisions made to chase losses, and the number of consecutive decisions to chase, in the absence of marked changes in mood. By contrast, pramipexole significantly increased the value of losses chased and diminished the value of losses surrendered. Propranolol markedly reduced heart rate, but produced no significant changes in loss-chasing behavior. Loss chasing can be thought of as an aversively motivated escape behavior controlled, in part, by the marginal value of continued gambling relative to the value of already accumulated losses. Serotonin and dopamine appear to play dissociable roles in the tendency of individuals to gamble to recover, or to seek to 'escape' from, previous losses. Serotonergic activity seems to promote the availability of loss chasing as a behavioral option, whereas D2/D3 receptor activity produces complex changes in the value of losses judged worth chasing. Sympathetic arousal, at least as mediated by beta-adrenoceptors, does not play a major role in laboratory-based loss-chasing choices. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",774
Reduced Neural Tracking of Prediction Error in Substance-Dependent Individuals,2013,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,170,11,1356-1363,"Tanabe, J; Reynolds, J; Krmpotich, T; Claus, E; Thompson, LL; Du, YP; Banich, MT",English,"substance-dependent individuals make poor decisions on the iowa gambling task, a reward-related decision-making task that involves risk and uncertainty. task performance depends on several factors, including how sensitive individuals are to feedback and how well they learn based on such feedback. a physiological signal that guides decision making based on feedback is prediction error. the authors investigated whether disruptions in the neural systems underlying prediction error processing in substance-dependent individuals could account for decision-making performance on a modified iowa gambling task. thirty-two substance-dependent individuals and 30 healthy comparison subjects played a modified version of the iowa gambling task during mr scanning. trial-to-trial behavior and functional mri (fmri) blood-oxygen-level-dependent (bold) signal were analyzed using a computational model of prediction error based on internal expectancies. the authors investigated how well bold signal tracked prediction error in the striatum and the orbitofrontal cortex as well as over the whole brain in patients relative to comparison subjects. compared with healthy subjects, substance-dependent patients were less sensitive to loss compared with gain, made less consistent choices, and performed worse on the modified iowa gambling task. the ventral striatum and medial orbitofrontal cortex did not track prediction error as strongly in patients as in healthy subjects. weaker tracking of prediction error in substance-dependent relative to healthy individuals suggests that altered frontal-striatal error learning signals may underlie decision-making impairments in drug abusers. computational fmri may help bridge the knowledge gap between physiology and behavior to inform research aimed at substance abuse treatment.",10.1176/appi.ajp.2013.12091257,ADDICTION; DECISION-MAKING; DOPAMINE; DRUG-ABUSERS; FMRI; IMPULSIVENESS; IOWA GAMBLING TASK; ORBITOFRONTAL CORTEX; PREFRONTAL CORTEX; REWARD,"Objective: Substance-dependent individuals make poor decisions on the Iowa Gambling Task, a reward-related decision-making task that involves risk and uncertainty. Task performance depends on several factors, including how sensitive individuals are to feedback and how well they learn based on such feedback. A physiological signal that guides decision making based on feedback is prediction error. The authors investigated whether disruptions in the neural systems underlying prediction error processing in substance-dependent individuals could account for decision-making performance on a modified Iowa Gambling Task. Methods: Thirty-two substance-dependent individuals and 30 healthy comparison subjects played a modified version of the Iowa Gambling Task during MR scanning. Trial-to-trial behavior and functional MRI (fMRI) blood-oxygen-level-dependent (BOLD) signal were analyzed using a computational model of prediction error based on internal expectancies. The authors investigated how well BOLD signal tracked prediction error in the striatum and the orbitofrontal cortex as well as over the whole brain in patients relative to comparison subjects. Results: Compared with healthy subjects, substance-dependent patients were less sensitive to loss compared with gain, made less consistent choices, and performed worse on the modified Iowa Gambling Task. The ventral striatum and medial orbitofrontal cortex did not track prediction error as strongly in patients as in healthy subjects. Conclusions: Weaker tracking of prediction error in substance-dependent relative to healthy individuals suggests that altered frontal-striatal error learning signals may underlie decision-making impairments in drug abusers. Computational fMRI may help bridge the knowledge gap between physiology and behavior to inform research aimed at substance abuse treatment.",23
Subcortical structures and cognition: Implications for neuropsychological assessment.,2009,Subcortical structures and cognition: Implications for neuropsychological assessment.,978-0-387-84866-2 (Hardcover); 978-0-387-84868-6 (PDF),,"Aarsland, D., & Larsen, J. P. (2003). Diagnosis and treatment of hallucinations and delusions in Parkinson's disease. In M. A. Bedard, Y. Agid, S. Chouinard, S. Fahn, & A. Korczyn (Eds.), Mental and behavioral dysfunction in movement disorders (pp. 369-382). Totowa, NJ: Humana Press.",,"Koziol, Leonard F; Budding, Deborah Ely",English,"the study of neuropsychology traditionally begins with geography: the neocortex as the seat of cognition and behavior, and the subcortical regions coordinating movement. subcortical structures and cognition breaks with this traditional view, arguing for a practice-oriented rethinking of brain organization. the authors' structural/functional analysis redefines the cerebral hemispheres, basal ganglia, and cerebellum as operating in parallel to control cognition, affect, and behavior as well as movement. case studies and empirical data flesh out this intricate scenario, linking pathology in subcortical structures with psychiatric, learning, and developmental disabilities. these findings are at the forefront of clinical research, significant not only in theoretical terms but also leading to new advances in testing, assessment, and treatment. in their shift from cortex-centered to cortical-subcortical neuropsychology, the authors examine the functional anatomy of the cerebellum and basal ganglia, as well as their roles in cognition, emotion, and behavior. they also describe the neuroanatomy of experiential and reinforcement-based learning, and review cognition as an extension of the motor control system. cases are provided to illustrate the relationships between cortical and subcortical systems in various types of pathology. the authors also provide information on (1) the current state of neuropsychological assessment; (2) results of experimental studies, including imaging technologies; and (3) future directions for neuropsychology, neurology, and related fields. this book is written for maximum clinical applicability, making it important practical reading for neuropsychologists, rehabilitation specialists, speech, occupational, and physical therapists, cognitive neuroscientists, and psychiatrists.",10.1007/978-0-387-84868-6,Behavior; Learning; Emotions; Cerebral Cortex; Cerebellum; Neuropathology; *Cognition; *Neuropsychological Assessment; *Neuropsychology; *Brain; Mental Disorders; *Neuroanatomy; Basal Ganglia; Motor Cortex,"The study of neuropsychology traditionally begins with geography: the neocortex as the seat of cognition and behavior, and the subcortical regions coordinating movement. Subcortical Structures and Cognition breaks with this traditional view, arguing for a practice-oriented rethinking of brain organization. The authors' structural/functional analysis redefines the cerebral hemispheres, basal ganglia, and cerebellum as operating in parallel to control cognition, affect, and behavior as well as movement. Case studies and empirical data flesh out this intricate scenario, linking pathology in subcortical structures with psychiatric, learning, and developmental disabilities. These findings are at the forefront of clinical research, significant not only in theoretical terms but also leading to new advances in testing, assessment, and treatment. In their shift from cortex-centered to cortical-subcortical neuropsychology, the authors examine the functional anatomy of the cerebellum and basal ganglia, as well as their roles in cognition, emotion, and behavior. They also describe the neuroanatomy of experiential and reinforcement-based learning, and review cognition as an extension of the motor control system. Cases are provided to illustrate the relationships between cortical and subcortical systems in various types of pathology. The authors also provide information on (1) the current state of neuropsychological assessment; (2) results of experimental studies, including imaging technologies; and (3) future directions for neuropsychology, neurology, and related fields. This book is written for maximum clinical applicability, making it important practical reading for neuropsychologists, rehabilitation specialists, speech, occupational, and physical therapists, cognitive neuroscientists, and psychiatrists. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",851
Dissecting impulsivity and its relationships to drug addictions.,2014,Ann N Y Acad Sci,0077-8923,1327,1,26-Jan,"Jentsch, David; Ashenhurst, James; Cervantes, Catalina; Groman, Stephanie; James, Alexander; Pennington, Zachary",,": addictions are often characterized as forms of impulsive behavior. that said, it is often noted that impulsivity is a multidimensional construct, spanning several psychological domains. this review describes the relationship between varieties of impulsivity and addiction-related behaviors, the nature of the causal relationship between the two, and the underlying neurobiological mechanisms that promote impulsive behaviors. we conclude that the available data strongly support the notion that impulsivity is both a risk factor for, and a consequence of, drug and alcohol consumption. while the evidence indicating that subtypes of impulsive behavior are uniquely informative-either biologically or with respect to their relationships to addictions-is convincing, multiple lines of study link distinct subtypes of impulsivity to low dopamine d2 receptor function and perturbed serotonergic transmission, revealing shared mechanisms between the subtypes. therefore, a common biological framework involving monoaminergic transmitters in key frontostriatal circuits may link multiple forms of impulsivity to drug self-administration and addiction-related behaviors. further dissection of these relationships is needed before the next phase of genetic and genomic discovery will be able to reveal the biological sources of the vulnerability for addiction indexed by impulsivity.,",10.1111/nyas.12388,decision making; inhibition; vulnerability,": Addictions are often characterized as forms of impulsive behavior. That said, it is often noted that impulsivity is a multidimensional construct, spanning several psychological domains. This review describes the relationship between varieties of impulsivity and addiction-related behaviors, the nature of the causal relationship between the two, and the underlying neurobiological mechanisms that promote impulsive behaviors. We conclude that the available data strongly support the notion that impulsivity is both a risk factor for, and a consequence of, drug and alcohol consumption. While the evidence indicating that subtypes of impulsive behavior are uniquely informative-either biologically or with respect to their relationships to addictions-is convincing, multiple lines of study link distinct subtypes of impulsivity to low dopamine D2 receptor function and perturbed serotonergic transmission, revealing shared mechanisms between the subtypes. Therefore, a common biological framework involving monoaminergic transmitters in key frontostriatal circuits may link multiple forms of impulsivity to drug self-administration and addiction-related behaviors. Further dissection of these relationships is needed before the next phase of genetic and genomic discovery will be able to reveal the biological sources of the vulnerability for addiction indexed by impulsivity., (C) 2014 John Wiley & Sons, Ltd",1347
Characterizing impulsivity in individuals with heroin use disorder.,2022,International Journal of Mental Health and Addiction,1557-1874,,"Ahn, W.Y., Haines, N., and Zhang, L. (2017). Revealing neurocomputational mechanisms of reinforcement learning and decision-making with the hBayesDM package. Computational Psychiatry, 1, 24-57. https://pubmed.ncbi.nlm.nih.gov/29601060 https://dx.doi.org/10.1162/CPSY_a_00002",No-Specified,"Kang, Tiejun; Zhang, Yi; Zhao, Jing; Li, Xiaoyan; Jiang, Heng; Niu, Xiaotong; Xie, Renqian; Ding, Xiaobin; Steele, Vaughn R; Yuan, Ti-Fei",,"backgroundimpulsivity plays an essential role in substance use disorder. here we systemically investigated the features of multi-dimensional impulsivity in male individuals with heroin use disorder (hud). methodssixty-four male participants with hud were recruited from lanzhou drug rehabilitation hospital, and sixty-one male healthy controls (hcs) were recruited from the local community. the groups were compared using measures of trait (barratt impulsiveness scale, bis-11), motor (two-choice oddball task, tcot), and cognitive impulsivity (iowa gambling task, igt). the study also assessed the relationship between impulsivity measurements and clinical severity. resultsthe bis-11 score, tcot response time and accuracy (acc) cost were higher in participants with hud than in hcs, whereas the total net score of igt and tcot acc were lower in the former group. the acc cost positively correlated with craving and daily dosage. the support vector machine successfully distinguished participants with hud from hcs. k-fold cross-validation showed the prediction of craving by the three bis sub-components. conclusionshud was associated with changes in multi-dimensional impulsivity, differentiating participants with hud from hcs and predicting clinical severity.",10.1007/s11469-022-00941-8,,"BackgroundImpulsivity plays an essential role in substance use disorder. Here we systemically investigated the features of multi-dimensional impulsivity in male individuals with heroin use disorder (HUD). MethodsSixty-four male participants with HUD were recruited from Lanzhou Drug Rehabilitation Hospital, and sixty-one male healthy controls (HCs) were recruited from the local community. The groups were compared using measures of trait (Barratt Impulsiveness Scale, BIS-11), motor (Two-choice Oddball Task, TCOT), and cognitive impulsivity (Iowa Gambling Task, IGT). The study also assessed the relationship between impulsivity measurements and clinical severity. ResultsThe BIS-11 score, TCOT response time and accuracy (ACC) cost were higher in participants with HUD than in HCs, whereas the total net score of IGT and TCOT ACC were lower in the former group. The ACC cost positively correlated with craving and daily dosage. The support vector machine successfully distinguished participants with HUD from HCs. K-fold cross-validation showed the prediction of craving by the three BIS sub-components. ConclusionsHUD was associated with changes in multi-dimensional impulsivity, differentiating participants with HUD from HCs and predicting clinical severity. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",165
Behavioral and neural mechanisms of compulsive drug seeking.,2005,Eur J Pharmacol,0014-2999,526,1,77-88,"Vanderschuren, Louk; Everitt, Barry",,"not the mere procurement and use of drugs, but the fact that patterns of seeking and taking become compulsive after prolonged drug use is a defining characteristic of drug addiction. development of a therapy that targets the compulsive aspects of drug use and thus addresses addiction at its core would therefore be very desirable. in the present review, we will discuss animal studies that attempt to model loss of control over drug use. furthermore, we will try to put these studies in a theoretical perspective, and discuss the hypothesized underlying neural and behavioral mechanisms.,",10.1016/j.ejphar.2005.09.037,Orbitofrontal cortex; Prefrontal cortex; Impulsivity; Dorsal striatum; Tolerance; Sensitization; Habit; Nucleus accumbens; Drug addiction; Allostasis; Compulsion,"Not the mere procurement and use of drugs, but the fact that patterns of seeking and taking become compulsive after prolonged drug use is a defining characteristic of drug addiction. Development of a therapy that targets the compulsive aspects of drug use and thus addresses addiction at its core would therefore be very desirable. In the present review, we will discuss animal studies that attempt to model loss of control over drug use. Furthermore, we will try to put these studies in a theoretical perspective, and discuss the hypothesized underlying neural and behavioral mechanisms., (C) 2005Elsevier, Inc.",1647
